semana,total_usmer,posibles_usmer,positivos_usmer,pruebas_usmer,totales_nacional,estimados_posibles_nacional,estimados_positivos_nacional
1,35056,1448,0,638,447717,24799,0
2,41912,2005,0,882,556927,34640,0
3,42903,2597,0,1059,582320,43962,0
4,46492,2871,0,1229,614238,46419,0
5,48797,2586,0,1049,636740,45140,0
6,41249,2531,0,1056,549579,42996,0
7,42810,2579,0,1083,571043,41285,0
8,43296,2450,3,967,583352,41763,100
9,43086,2572,3,1039,561594,42172,122
10,45193,2457,31,1031,606574,40514,871
11,41955,2931,187,1528,551799,48227,4649
12,48651,4129,320,2516,654378,69692,7483
13,33524,5824,684,3680,491185,98650,15482
14,21043,7234,1333,4738,303881,127503,32622
15,12409,8753,1963,6332,199027,151610,43231
