"cve_ent","poblacion","nombre","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020"
"000","127792286","Nacional","0","2","0","1","0","1","1","2","2","8","6","13","8","11","21","19","25","32","27","24","49","49","36","42","51","54","50","51","61","61","44","51","46","56","44","20","2"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","5","3","5","1","8","4","5","4","6","7","9","3","8","12","5","8","2","9","5","1","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","0","0","1","0","0"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
"05","3218720","COAHUILA","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","2","2","0","2","1","4","0","1","1","0","0","0","3","1","2","0","0","1","3","1","1"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","5","5","4","1","0","4","3","1","3","1","4","1","0","0","0","0"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","1","0","1","3","3","1","2","4","6","5","5","7","5","3","14","8","5","13","19","19","5","11","15","14","14","3","11","8","6","0","1"
"10","1868996","DURANGO","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","2","0","0","2","0","0","0","0","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","1","0","0","1","1","1","2","0","1","1","3","0","2","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","2","0","1","0","0","0","0","2","0","0","0","0","0","2","2","0","0","2","1","0","0","0"
"14","8409693","JALISCO","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","1","1","0","1","1","0","0","0","0","1","1","0","1","1","0","0"
"15","17427790","MEXICO","0","1","0","0","0","1","0","0","0","0","0","3","1","0","2","0","4","3","4","3","4","9","4","1","4","9","9","8","7","13","7","5","8","4","2","3","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","1","0","1","1","1","1","0","4","1","0","2","0","1","2","1","0","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","3","0","1","1","2","0","3","2","0","0"
"18","1288571","NAYARIT","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"19","5610153","NUEVO LEON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","4143593","OAXACA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","0","1","1","0"
"21","6604451","PUEBLA","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","3","3","4","7","1","1","4","5","2","2","4","1","3","2","5","3","2","0","0"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0"
"23","1723259","QUINTANA ROO","0","0","0","0","0","0","0","0","0","1","1","1","0","0","2","1","2","2","1","1","2","2","3","4","2","2","4","5","3","0","1","3","3","3","5","2","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"25","3156674","SINALOA","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","2","3","2","2","0","1","2","2","5","6","4","3","4","4","3","0","2","0","3","5","2","0"
