"cve_ent","poblacion","nombre","31-12-2019","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020"
"000","127792286","Nacional","0","4","16","18","7","14","28","27","15","44","39","5","20","36","51","59","43","42","16","21","65","52","56","46","46","15","33","43","50","30","39","31","7","12","13","51","44","44","29","8","16","71","49","40","35","30","8","17","28","31","30","22","24","12","9","31","32","38","39","63","24","27","81","73","66","63","53","23","31","77","97","107","176","222","113","130","190","365","404","482","477","328","266","698","967","1097","1036","1234","606","593","1343","1196","1204","1339","1358","821","563","1418","1478","1592","1176","1379","719","583","1729","1672","1450","1352","1412","533","368","662","147"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","1","2","0","0","0","2","0","3","2","0","1","0","3","1","4","1","1","10","8","5","17","12","17","12","20","18","33","26","37","35","17","29","39","27","40","43","40","30","10","39","32","30","1","16","22","13","39","38","46","27","18","7","11","3","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","2","1","1","3","1","1","2","3","0","0","1","1","7","0","2","0","1","5","3","2","1","2","0","0","3","0","1","1","2","1","0","2","0","4","2","0","0","1","0","1","1","0","0","0","0","1","2","1","0","2","1","2","0","1","0","0","0","1","0","3","5","3","0","0","1","0","5","4","4","5","13","3","2","8","11","26","20","36","18","11","59","44","54","50","53","29","16","49","42","40","34","25","14","8","31","33","30","26","42","23","10","29","48","28","32","13","6","1","7","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","1","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","1","0","1","2","0","1","0","3","2","1","2","2","1","1","3","3","6","2","6","6","0","11","9","17","14","18","7","10","28","31","29","28","26","21","13","57","32","44","41","18","19","12","43","33","36","23","10","3","2","7","6"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2","0","2","2","3","5","2","5","6","6","3","7","5","2","1","5","8","6","2","2","2","23","19","10","4","9","3","2","1","20","1"
"05","3218720","COAHUILA","0","0","1","0","1","1","4","0","1","0","0","0","2","2","2","6","2","3","0","1","4","3","5","3","2","0","0","5","5","5","2","5","0","1","2","7","2","4","0","1","0","4","3","1","1","1","1","0","4","6","3","2","0","0","1","4","3","3","5","3","1","1","0","3","2","2","0","1","4","4","6","2","4","3","2","5","8","6","12","11","11","11","14","9","20","42","31","53","21","36","66","50","45","87","108","58","70","130","111","98","55","95","49","28","111","102","73","138","95","34","5","40","20"
"06","785153","COLIMA","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","1","0","3","3","0","0","2","0","0","3","2","0","1","1","6","8","5","3","1","1","3","5","5","8","3","5","0","3","1","3","5","1","0","6","1","4","3","4","1","1","1","0","1","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","1","2","1","2","2","3","7","1","2","14","7","6","17","7","10","15","19","19","19","15","9","5","10","9","16","3","7","6","4","13","18","13","10","13","11","3","8","3"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0","1","0","1","0","0","1","0","1","1","2","2","0","6","1","7","8","2","6","6","4","18","14","14","7","7","16","14","7","13","8","11","8","14","11","15","18","11","12","14","27","20","22","15","6","2","9","6","0"
"09","9018645","DISTRITO FEDERAL","0","0","10","6","1","3","11","5","4","13","14","1","3","10","16","10","10","11","1","6","12","10","8","10","11","2","13","6","9","3","6","4","0","0","0","11","11","2","5","1","5","17","7","3","4","6","2","1","3","3","3","1","6","2","1","7","4","8","12","12","3","3","22","6","14","15","14","6","7","19","27","33","53","49","36","28","39","75","84","93","79","33","20","64","147","146","125","184","66","65","142","142","123","196","241","96","60","224","322","388","277","296","115","85","384","447","380","345","389","61","58","118","53"
"10","1868996","DURANGO","0","0","0","0","2","1","1","1","2","1","1","0","3","0","1","2","0","0","0","4","1","1","1","0","0","1","1","2","3","0","1","0","0","1","2","0","1","0","1","3","0","4","0","1","0","0","0","2","1","1","0","1","0","0","0","1","1","0","1","0","1","0","2","2","1","2","1","0","1","6","0","1","3","1","1","1","0","4","2","6","0","1","0","7","13","9","17","19","3","3","5","11","15","25","10","27","11","22","21","15","5","6","2","3","13","17","17","18","7","3","3","1","1"
"11","6228175","GUANAJUATO","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","1","1","1","1","2","0","0","1","1","0","2","0","0","2","1","0","1","3","1","2","2","0","2","5","2","2","1","0","0","3","1","2","1","0","0","1","0","1","1","1","1","4","3","5","3","1","2","3","0","1","0","3","3","1","8","9","2","3","8","10","13","27","25","40","14","47","55","84","87","70","63","18","85","91","77","98","84","31","17","70","71","83","59","56","51","14","59","76","115","98","147","60","31","84","1"
"12","3657048","GUERRERO","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","5","0","1","3","5","2","2","2","0","1","12","6","12","13","16","10","11","28","19","17","19","10","7","4","12","14","14","12","14","7","10","21","13","20","17","19","5","5","9","2"
"13","3086414","HIDALGO","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","2","0","2","0","0","0","0","1","1","0","1","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","2","0","2","1","1","2","0","2","3","3","4","0","0","0","1","11","2","4","24","1","0","10","16","16","37","34","15","12","22","16","20","16","23","9","6","16","18","16","11","4","2","3","9","10","5","4","10","15","7","10","4"
"14","8409693","JALISCO","0","1","0","3","0","2","3","4","3","14","9","3","7","11","10","17","12","15","7","2","12","18","18","8","7","4","4","11","10","9","10","11","3","6","4","7","8","6","3","2","3","9","6","13","10","8","0","6","7","4","7","6","6","2","2","5","2","10","4","5","3","3","12","8","10","3","8","2","2","3","11","9","14","18","5","14","13","37","46","53","40","31","33","93","99","117","77","125","55","67","108","102","89","92","120","113","81","143","117","103","77","77","78","48","111","86","105","99","122","50","23","56","0"
"15","17427790","MEXICO","0","0","1","1","1","3","1","5","1","6","7","0","1","2","5","2","5","1","1","1","7","4","8","1","3","0","3","2","2","3","1","0","0","1","0","5","2","5","2","0","0","2","4","3","3","1","0","0","2","0","0","1","3","0","1","2","6","4","2","4","2","2","9","12","9","4","7","1","5","7","9","12","12","24","15","6","17","42","22","42","30","22","14","63","74","77","78","140","64","64","174","120","125","126","147","99","49","128","158","160","86","115","56","55","211","186","152","126","104","29","15","31","21"
"16","4825401","MICHOACAN","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","8","1","0","3","4","8","8","7","8","6","11","14","33","19","22","15","10","33","19","31","24","36","21","13","29","24","31","32","24","11","15","43","32","41","73","92","21","19","13","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","1","2","0","1","2","6","8","1","2","11","11","13","11","8","7","14","12","14","17","17","13","13","5","21","15","20","12","9","12","8","21","19","19","6","9","2","8","4","0"
"18","1288571","NAYARIT","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","3","1","2","0","1","2","1","5","3","5","10","9","10","8","14","8","13","9","6","9","3","14","9","10","9","4","2","4","12","11","11","8","6","4","2","9","4"
"19","5610153","NUEVO LEON","0","0","0","1","0","0","0","0","0","0","0","0","0","3","1","3","4","0","2","2","10","6","3","6","3","2","3","3","3","2","2","0","0","0","1","1","1","4","3","0","2","6","3","3","5","1","2","1","3","1","1","0","2","3","0","2","4","0","3","8","3","2","9","12","6","7","4","3","3","9","7","9","25","40","14","6","26","43","35","47","42","30","33","60","95","99","54","71","40","37","72","68","90","76","85","45","29","97","110","91","234","335","74","77","40","80","30","36","45","12","8","18","1"
"20","4143593","OAXACA","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0","2","2","0","3","1","3","5","5","7","1","2","4","8","11","23","12","34","6","14","9","20","24","44","24","12","7","15","12","17","7","8","15","6","18","11","9","5","10","4","5","6","1"
"21","6604451","PUEBLA","0","0","1","0","0","0","0","3","0","0","0","0","0","2","0","0","1","1","0","0","0","1","0","0","2","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","4","0","2","1","0","1","0","0","1","0","0","2","12","5","10","5","4","4","17","25","26","34","16","8","26","35","40","39","25","10","21","60","32","23","27","37","18","23","51","47","57","29","17","10","23","73","52","28","23","21","11","9","21","0"
