"cve_ent","poblacion","nombre","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020"
"000","127792286","Nacional","0","1","0","0","0","0","1","5","3","6","5","1","6","10","13","17","14","3","3","4","3","9","9","11","13","8","21","33","43","45","70","119","107","344","263","393","600","1153","982","998","2913","3498","1536"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","5","4","6","48","36","4","21","35","88","11"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","2","0","5","3","0","2","2","2","2","2","4","8","10","19","28","37","57","58","47","63","119","94","17"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","12","21","18","22","14"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","1","4","7","10","2"
"05","3218720","COAHUILA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","4","5","1","9","5","11","20","20","17","12","94","90","42"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","7"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","2","4","0","7","7","2","2","13","22","5"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","3","0","0","10","9","20","8","12","29","36","49","23","70","74","21"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","1","1","0","0","0","0","1","1","1","4","2","1","2","1","0","1","0","1","4","1","4","6","6","8","21","29","31","118","81","109","86","354","157","190","765","935","478"
"10","1868996","DURANGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","5","1","9","6","9","12","24","18"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","10","3","9","19","19","18","12","192","316","76"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","6","8","13","27","54","10"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","3","3","4","6","13","4","12","20","11"
"14","8409693","JALISCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","0","11","10","21","16","31","73","81","178","125","88"
"15","17427790","MEXICO","0","0","0","0","0","0","0","2","3","4","1","0","0","0","2","2","1","2","0","1","0","4","2","2","1","2","7","15","21","16","15","24","21","63","63","111","192","335","268","257","511","510","235"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","6","3","5","11","4","8","19","55","88","26"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","1","5","1","5","5","12","10","21","49","41","26"
"18","1288571","NAYARIT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","17","12","17","29","10"
"19","5610153","NUEVO LEON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","7","0","1","0","7","9","4","7","13","11","30","115","180","85"
