"cve_ent","poblacion","nombre","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020","04-05-2020","05-05-2020","06-05-2020"
"000","127792286","Nacional","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","4","5","4","6","2","12","8","16","17","20","7","6","5","1","9","9","8","4","2","6","19","27","25","16","22","25","40","47","52","113","134","131","141","273","694","860","1068","1092","1043","1384","4190","3911","2086"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","28","34","3","16","136","136","64","26"
"02","3634868","BAJA CALIFORNIA","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","2","1","5","3","8","6","6","2","9","16","18","26","37","46","66","57","80","120","90","25"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","3","5","2","3","5","15","13","15"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","2","6","10","11","6"
"05","3218720","COAHUILA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","4","8","13","30","65","31","59","124","140","35"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","3","6","5","6","7","10"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","4","4","3","1","7","53","50","8"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","2","1","4","3","12","26","31","30","28","28","30","87","94","18"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","0","5","1","4","6","5","3","4","2","0","2","2","3","2","0","3","2","7","7","5","6","7","16","8","19","56","67","51","49","68","163","182","224","225","141","195","1062","879","637"
