cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,1,1,4,0,17,3,6,5,3,4,1,0,0,2,0,2,4,1,1,0,3,1,2,7,2,12,7,15,12,3,17,13,11,21,11,1,7,17,30,18,27,4,4,3,49,12,16,24,14,0,4,11,43,14,23,27,3,7,36,20,27,29,24,17,8,39,39,36,45,42,15,20,63,60,60,44,60,24,26,73,66,63,63,60,33,24,79,58,73,63,69,15,26,68,53,50,69,56,17,11,39,39,78,70,66,11,8,93,119,53,43,77,22,32,82,83,82,87,71,22,12,47,72,3,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,6,3,2,10,9,7,11,16,7,21,29,44,66,30,38,25,20,70,41,58,58,48,33,44,81,103,102,84,98,46,44,110,107,91,111,85,44,68,112,97,109,89,91,78,91,144,140,118,122,142,75,69,130,125,126,113,144,70,72,215,155,170,225,208,66,79,136,134,126,117,115,84,71,152,167,159,146,152,100,68,169,173,145,145,108,88,91,174,186,150,142,175,84,62,207,173,169,156,170,110,61,205,163,169,187,154,69,76,205,177,144,151,107,44,52,138,147,118,105,72,46,56,93,37,16,0,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,4,1,13,7,5,11,16,5,5,23,24,24,22,9,7,5,14,17,5,9,6,3,8,7,12,4,9,13,5,7,10,4,4,14,2,9,6,7,12,10,11,9,6,10,7,16,13,8,5,11,3,11,15,17,8,15,7,9,16,14,22,18,22,13,8,36,18,16,22,22,14,20,53,38,47,29,25,22,21,52,30,47,48,19,35,17,33,47,53,54,42,45,35,65,58,75,70,65,56,47,87,112,92,118,109,39,48,131,116,126,116,86,57,37,117,55,69,8,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,2,1,0,3,2,0,0,2,1,5,2,2,4,3,4,3,6,2,5,7,6,7,4,6,8,4,6,8,8,6,11,11,18,9,16,11,14,14,7,24,20,16,12,15,15,15,17,21,24,16,25,17,14,34,35,30,29,20,19,8,39,24,19,39,40,24,23,42,59,69,75,36,27,22,98,82,102,88,100,54,40,105,91,85,90,95,52,47,70,92,70,91,59,31,36,78,93,88,90,105,44,54,94,52,102,99,65,36,44,83,78,54,1,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,5,1,0,2,2,4,2,5,1,1,5,2,6,3,3,1,0,5,5,6,3,10,4,7,9,9,11,15,13,9,12,21,9,19,13,18,9,14,31,27,35,34,34,23,21,32,46,67,66,81,40,34,93,65,74,105,99,56,50,146,132,125,142,126,70,70,146,144,114,109,129,70,73,140,129,110,96,107,68,60,96,91,113,95,82,53,40,95,86,98,88,84,42,44,69,54,62,52,63,43,23,43,43,33,31,40,21,24,34,25,25,17,28,10,22,24,5,0,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,2,2,2,2,5,3,5,7,6,5,9,12,11,7,10,8,12,13,9,18,13,23,27,16,17,23,41,36,36,54,43,37,24,55,58,63,67,45,46,28,56,74,69,59,53,38,47,71,48,78,72,60,50,46,77,57,60,83,65,62,29,74,57,54,48,74,23,32,66,75,48,44,64,28,25,70,54,56,52,42,22,23,46,58,43,54,52,30,22,48,45,47,37,53,26,18,62,62,79,67,45,25,24,68,57,49,39,64,33,18,81,54,48,19,19,11,4,4,12,1,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,3,12,17,24,21,10,26,34,31,39,24,12,11,25,35,25,50,39,49,35,77,51,55,71,79,57,55,118,127,125,127,147,110,114,268,247,226,250,327,197,185,446,432,399,344,508,247,222,495,535,565,531,327,321,292,718,588,681,704,788,390,354,797,802,878,792,920,585,359,1059,1001,1019,942,890,461,333,1007,893,966,824,903,526,395,1038,897,959,909,928,495,370,993,976,921,854,905,377,314,894,962,905,890,856,409,254,807,860,789,803,848,350,278,918,869,939,823,888,340,208,920,891,863,694,795,344,228,995,820,1105,1020,1004,530,206,839,497,221,16,3
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,3,4,0,0,1,6,0,3,4,4,8,18,14,19,19,21,11,4,25,8,16,6,11,9,6,15,16,16,5,9,6,9,9,19,14,9,13,3,4,24,16,13,19,15,5,5,26,31,34,23,18,9,15,29,29,17,32,35,17,12,61,47,42,64,45,35,17,47,54,69,54,86,37,33,100,76,67,75,88,38,41,138,128,119,125,133,57,43,163,184,178,203,203,116,63,269,324,249,198,240,176,108,317,288,303,226,307,186,130,277,319,276,266,220,77,78,354,323,252,255,242,117,74,182,154,40,35,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,1,1,1,1,1,3,2,1,0,2,0,0,3,1,0,2,3,5,1,1,2,3,1,2,6,4,12,4,3,5,7,7,8,4,7,4,7,7,7,4,7,8,6,4,11,11,11,8,11,11,4,12,14,12,16,13,11,8,15,24,18,18,27,10,15,21,23,20,24,27,17,13,21,22,36,18,34,13,14,32,36,33,37,58,27,22,52,55,34,49,46,43,33,51,31,34,0,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,2,10,4,4,2,2,2,5,8,5,3,8,2,6,6,7,3,3,5,11,10,2,1,6,11,10,12,16,3,8,15,7,23,20,23,5,15,27,21,28,23,33,38,12,40,38,29,43,81,22,20,72,69,50,59,54,17,19,69,92,72,82,53,14,15,71,107,94,70,89,52,37,64,87,110,65,75,19,20,63,67,82,114,67,26,19,101,84,84,77,81,26,12,101,93,36,0,0
