cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,55,113,111,93,4
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,2,0,1,2,0,1,1,0,0,1,0,2,3,3,2,0,1,1,1,2,0,4,3,1,0,4,2,3,4,5,2,3,0,5,4,6,7,1,2,4,7,5,1,5,1,1,3,2,20,7,10,3,1,7,14,6,12,7,2,0,6,11,5,6,7,1,3,7,30,30,11,1,0,4,6,20,11,11,19,8,13,17,13,6,9,13,2,6,18,26,45,20,28,21,24,87,83,124,161,127,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2,1,0,4,2,2,1,3,2,1,2,3,3,9,2,1,3,3,4,7,8,6,2,0,4,6,8,4,2,6,3,8,12,9,60,39,21,14,16,8,30,164,208,8
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,1,0,1,1,1,2,0,0,0,1,1,4,0,2,2,2,4,1,1,5,1,0,0,3,0,0,0,2,1,1,2,2,3,2,4,2,0,2,1,2,3,3,9,2,5,12,10,51,37,1
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,1,0,3,12,18,11,11,0,0,8,4,4,5,0,0,1,1,2,0,2,5,1,0,1,0,0,10,2,2,0,3,0,0,0,1,1,2,0,3,1,1,1,2,0,2,1,1,4,16,3,2,16,18,18,35,58,1
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,4,4,0,1,2,1,2,3,4,2,0,2,3,6,4,9,5,4,3,18,6,9,15,7,6,5,11,11,14,9,5,1,10,14,7,14,12,4,2,12,9,7,6,17,5,11,27,14,12,6,9,2,2,7,7,5,4,3,3,1,4,7,12,8,13,10,3,14,18,16,17,31,11,9,34,37,14,18,16,14,14,13,35,45,26,48,21,11,50,40,73,75,91,30,23,85,60,78,93,134,32,44,126,116,143,151,78,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,2,3,3,3,2,5,7,5,7,2,7,8,8,13,13,15,15,10,13,5,16,17,15,26,19,23,21,30,40,43,34,52,40,33,71,66,53,75,72,43,43,81,79,85,70,79,58,60,99,117,77,72,93,54,41,95,80,102,84,95,71,37,82,89,90,81,73,53,51,106,84,87,100,85,78,53,117,90,97,109,114,47,45,124,113,136,111,101,68,49,109,170,153,103,133,76,45,142,141,140,173,165,99,35,149,240,176,202,235,152,84,351,432,1276,2708,2628,42
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5,7,1,0,1,3,2,4,10,4,5,11,7,10,7,12,6,1,19,15,16,18,55,14,6,17,12,16,14,10,9,4,36,26,34,37,33,14,7,39,28,19,11,20,3,6,27,25,20,16,37,16,4,32,34,38,26,30,27,3,60,56,42,59,84,67,18,44,41,46,41,26,27,13,54,32,57,113,115,46,45,138,168,223,364,385,8
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,1,19,33,3,1,0,0,0,2,4,9,22,5,2,5,35,47,64,2
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,2,1,0,3,4,1,7,1,1,1,2,4,3,1,10,2,2,2,1,8,7,4,2,1,6,5,6,10,15,9,1,11,6,5,4,1,0,1,4,5,35,88,93,25,81,6,6,6,8,8,2,1,26,12,9,12,25,3,7,25,13,18,11,10,6,3,8,17,20,10,19,11,21,45,29,57,88,194,3
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,10,4,2,2,11,1,1,16,12,14,4,26,9,4,2,7,1,11,0,8,0,5,2,2,4,3,3,3,2,3,2,3,4,2,1,10,3,7,6,12,10,1,12,11,12,14,12,8,3,19,19,13,16,29,6,6,20,31,12,16,17,8,6,17,10,16,25,21,8,5,22,9,70,46,46,31,11,38,23,88,530,774,11
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,2,1,1,0,0,2,9,13,5,7,1,1,4,1,4,12,3,0,1,6,7,14,9,9,1,3,1,16,13,8,7,6,0,3,5,2,5,4,5,4,13,3,3,3,5,0,2,2,7,4,3,3,3,7,15,18,60,28,17,1,3,9,5,8,7,7,0,5,3,6,5,10,3,0,7,8,15,2,17,108,71,30,111,93,132,261,267,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,3,1,0,1,2,4,2,1,1,0,0,0,3,2,4,1,0,1,6,2,3,2,5,0,2,3,1,2,8,6,1,0,2,2,2,2,2,2,0,6,5,2,4,1,2,0,1,1,3,1,7,2,2,2,4,4,7,3,4,0,2,4,13,7,15,3,9,17,9,41,110,191,18
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,4,6,4,2,8,21,9,4,7,7,1,10,7,19,16,21,13,10,9,16,13,18,15,9,6,25,20,28,22,22,24,3,31,36,48,62,42,17,29,43,48,47,51,44,9,10,65,54,47,35,51,33,23,68,65,26,48,67,32,16,56,37,62,32,56,22,20,47,35,17,25,44,67,47,238,124,163,178,279,16
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,2,0,0,1,3,1,5,6,4,5,1,3,2,7,2,4,6,3,4,10,11,14,25,32,9,12,25,28,12,33,10,9,7,34,44,64,37,51,43,25,57,55,52,65,79,43,42,86,72,99,85,105,47,50,73,104,66,68,83,39,43,123,117,134,101,148,70,53,115,121,131,166,158,57,61,100,162,115,166,174,84,47,147,96,207,181,173,59,40,213,224,260,335,420,75,108,402,371,450,490,594,79,103,491,475,538,476,405,86,57,471,525,577,568,706,212,173,915,816,1132,1462,1305,41
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,2,2,1,1,2,2,2,0,2,1,2,0,1,3,2,2,0,1,3,0,3,5,6,3,4,4,8,6,17,6,8,15,3,7,8,8,9,12,15,8,1,8,18,16,7,7,2,6,10,18,24,8,16,6,3,24,27,14,28,24,13,5,24,17,38,26,22,8,12,17,23,30,33,35,20,29,98,172,404,398,340,7
