cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,2,0,0,0,2,0,3,2,0,1,0,3,1,4,1,1,9,8,5,17,12,17,12,20,18,33,26,37,36,17,29,38,27,40,41,38,31,12,40,34,31,2,15,22,13,45,41,60,34,22,18,28,82,61,46,89,88,6,23,82,85,113,125,18,17,135,93,76,76,149,35,45,40,126,204,56,63,30,35,32,40,54,70,69,43,46,31,37,69,108,45,23,55,85,50,49,78,44,32,71,91,43,91,113,67,42,62,27,138,67,25,26,29,23,65,54,78,71,53,42,33,22,114,159,61,28,37,5,15,117,138,152,179,64,32,62,88,110,130,74,50,15,63,104,60,106,72,20,18,191,236,234,84,6,0,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,2,1,1,3,1,1,3,3,0,0,1,1,7,0,2,0,1,5,3,2,1,2,0,0,3,0,1,1,2,2,0,2,0,4,2,0,0,1,0,1,1,0,0,0,0,1,2,1,0,2,1,2,0,1,0,0,0,1,0,3,5,3,0,0,2,0,5,4,4,5,13,3,2,8,11,26,20,35,18,11,59,44,54,53,56,29,17,50,41,38,34,26,15,8,33,31,25,26,36,14,11,32,42,39,43,43,14,13,50,58,45,39,36,20,13,54,50,56,68,37,16,27,48,33,54,56,55,27,54,82,91,53,64,89,18,12,67,44,53,85,99,56,41,80,126,82,89,66,42,39,149,110,97,105,74,28,27,94,90,85,95,85,60,46,87,112,96,110,93,29,29,106,130,83,99,128,51,22,84,84,104,76,98,42,27,73,72,82,87,49,28,29,95,81,81,64,73,26,22,83,88,78,82,72,31,20,87,67,32,28,7,0,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,1,2,0,1,0,3,2,1,2,2,1,1,3,3,6,2,6,6,0,11,10,17,14,17,7,10,29,31,29,28,27,21,13,58,34,45,41,18,19,12,43,32,37,23,17,12,9,20,28,13,9,11,7,19,13,19,22,21,12,2,5,24,15,25,24,30,15,5,23,30,9,10,22,9,3,6,17,18,31,35,26,14,36,33,29,30,34,31,53,42,43,33,51,82,52,19,42,46,29,65,92,32,32,49,79,84,71,60,21,22,103,103,79,90,44,58,34,88,80,104,120,89,63,60,92,80,90,117,104,43,20,106,117,133,102,150,43,14,118,151,139,113,117,36,22,104,137,98,116,80,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,3,5,2,5,6,7,3,7,5,2,1,5,7,6,2,2,2,22,18,10,7,10,5,7,5,21,13,5,7,29,8,7,11,10,7,11,9,8,9,18,7,14,12,9,25,7,16,13,14,21,29,32,6,16,17,15,19,28,20,17,25,40,46,27,79,16,10,46,72,31,24,43,24,50,29,120,38,71,40,5,10,48,60,45,37,47,22,15,42,42,33,68,54,16,12,57,100,59,61,61,12,10,64,42,30,68,42,22,12,49,60,77,49,51,25,25,79,61,53,52,41,31,10,43,72,28,58,12,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,2,1,1,2,3,7,1,2,14,8,6,17,7,10,14,20,19,18,14,11,5,10,9,17,4,7,6,5,14,20,14,10,16,11,8,19,35,13,23,22,20,14,15,22,12,14,20,9,11,51,40,24,24,32,21,8,37,22,21,34,44,33,12,40,35,28,43,36,18,17,35,45,31,48,28,24,26,54,35,36,30,39,24,17,27,36,36,33,36,16,9,21,11,33,22,19,11,12,34,33,28,26,19,11,4,21,18,26,25,21,18,11,25,21,21,10,26,14,10,34,25,26,26,24,8,14,35,22,18,16,54,9,6,20,33,26,34,25,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,1,0,2,0,0,1,0,1,1,2,2,0,6,1,7,7,2,6,6,4,18,15,16,7,7,16,14,9,15,12,13,8,19,14,18,18,13,18,15,31,21,28,24,16,13,16,36,31,31,42,41,25,18,57,51,46,44,36,39,19,68,79,82,75,55,41,28,70,75,74,76,82,46,37,84,72,65,67,54,37,30,80,55,102,70,71,25,25,81,71,59,55,56,25,18,57,58,70,52,47,14,24,57,67,60,50,37,31,18,40,52,57,54,81,13,28,57,62,63,37,48,25,20,81,52,65,45,47,35,22,64,66,52,59,59,20,22,53,76,43,42,22,8,7,24,21,6,1,0,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,10,6,1,3,11,6,4,13,14,1,3,10,16,10,10,11,1,6,12,10,8,10,11,2,13,6,9,3,6,4,0,0,0,11,11,2,5,1,5,17,7,3,4,6,2,1,3,3,3,1,6,2,1,7,4,8,12,12,3,3,22,7,15,16,16,6,7,19,27,33,54,50,36,31,45,76,87,92,77,34,19,66,148,149,130,188,67,68,148,147,145,208,252,103,64,232,337,394,292,308,123,101,400,463,401,393,506,124,127,458,471,447,364,462,183,163,544,629,688,857,285,265,299,841,636,877,726,887,321,211,724,809,835,864,857,339,216,934,937,998,916,1043,409,271,1037,941,1086,837,919,482,254,1035,991,1135,1119,1153,431,224,1153,1105,1142,1238,1296,527,370,1414,1309,1344,1230,1215,494,299,1062,1258,1207,1292,1268,450,353,1531,1347,1468,1312,1605,499,415,1554,1520,1556,1527,1573,558,322,1615,1646,2483,2330,2513,1092,395,2058,1859,1942,1839,2031,854,367,1512,1750,1593,956,164,1,0
"05",3218720,"COAHUILA",0,0,1,0,1,1,4,0,1,0,0,0,2,2,2,6,2,3,0,1,4,3,5,3,2,0,0,5,5,5,2,5,0,1,2,7,2,4,0,1,0,4,3,1,1,1,1,0,4,6,3,2,0,0,1,4,3,3,5,3,1,1,0,3,2,2,0,1,4,4,6,2,5,3,2,5,8,6,12,11,11,12,14,9,20,41,32,54,21,37,67,51,49,91,115,57,74,134,122,112,72,111,52,29,101,111,82,136,105,37,15,103,79,81,77,111,40,38,91,82,122,146,93,42,52,119,132,68,107,165,77,21,158,177,149,160,185,97,51,253,162,214,184,199,108,66,185,182,180,170,248,165,98,308,339,387,340,417,222,74,280,386,332,247,417,114,73,274,285,248,228,256,157,43,219,349,236,366,283,44,35,225,234,288,275,316,122,84,260,294,150,157,220,65,47,177,211,138,154,314,110,48,187,291,236,210,239,55,34,197,220,130,116,93,16,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,3,3,0,0,2,0,0,3,2,0,1,1,6,8,5,4,1,1,3,5,5,8,3,5,0,3,1,3,6,1,1,6,2,4,3,9,2,3,1,7,8,6,6,5,2,0,4,5,4,14,5,2,7,7,7,2,15,10,6,4,8,6,9,7,10,15,8,14,17,15,13,13,13,5,7,13,9,8,15,6,9,9,15,7,11,19,17,11,3,15,11,14,17,12,5,5,10,8,13,19,23,8,7,22,19,15,9,17,6,16,15,20,21,27,13,11,10,31,25,24,22,17,15,15,36,22,31,17,19,23,19,56,34,39,46,28,16,13,52,35,23,22,20,0,0
"10",1868996,"DURANGO",0,0,0,0,2,1,1,1,2,1,1,0,3,0,1,2,0,0,0,4,1,1,1,0,0,1,1,2,3,0,1,0,0,1,2,0,1,0,1,3,0,4,0,1,0,0,0,2,1,1,0,1,0,0,0,1,1,0,1,0,1,0,2,2,1,2,1,0,1,6,0,1,3,1,1,0,0,4,2,6,0,1,0,5,13,8,18,19,3,3,6,11,15,32,12,27,10,21,19,13,5,7,2,3,13,17,17,16,14,5,6,19,32,10,42,25,10,9,13,24,31,40,11,72,25,30,35,32,37,47,12,5,50,39,44,24,59,14,9,27,35,37,63,45,10,11,56,48,55,115,97,60,14,74,119,108,92,138,26,25,130,149,119,177,194,64,27,189,167,95,145,180,32,25,87,109,128,122,173,87,19,80,121,94,155,117,35,25,118,129,124,112,144,41,32,161,149,138,180,134,45,10,149,150,129,160,135,16,22,177,172,157,129,85,9,0
