cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,2,3,2,2,4,0,2,0,6,3,4,1,0,2,7,2,0,0,0,0,1,1,2,6,3,0,0,9,4,4,1,4,0,1,11,5,4,8,10,5,121,89,13,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,0,1,0,0,0,1,0,1,1,1,1,2,0,0,2,0,1,1,0,1,2,0,0,1,1,0,0,3,4,2,7,1,0,4,9,5,2,1,1,0,0,3,1,0,2,0,0,2,2,0,2,0,0,0,1,8,3,4,4,2,0,5,0,2,3,1,0,0,5,1,2,1,1,0,1,1,0,1,1,2,0,0,0,2,3,5,1,0,0,2,3,1,2,3,1,0,2,5,1,1,1,0,0,6,3,8,4,4,3,3,8,8,2,8,20,5,2,76,109,127,131,148,38,39,164,68,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,4,6,4,6,4,4,9,8,2,13,30,21,106,300,1
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,0,0,1,1,0,1,2,0,1,0,2,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,3,1,0,2,0,2,0,0,0,2,0,1,2,1,3,1,1,13,13,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,2,9,17,10,9,0,0,3,1,0,3,0,0,1,1,2,0,1,3,0,0,1,0,0,9,2,2,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,4,0,0,2,1,1,1,0,0,0,1,0,1,0,2,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,1,2,0,1,0,0,0,0,1,0,1,2,0,0,3,5,3,3,2,0,2,19,33,4
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,2,0,4,4,2,1,1,5,0,3,2,1,1,4,3,2,4,4,3,0,2,2,1,8,6,5,5,2,4,0,2,5,6,7,7,1,0,12,9,5,3,3,2,2,1,5,3,3,3,0,1,5,1,4,3,4,0,0,0,3,3,3,8,1,0,0,1,2,8,11,4,2,1,6,4,9,5,4,4,4,4,8,10,21,1,1,6,0,5,6,3,4,7,7,4,12,9,6,1,5,4,20,18,10,8,15,10,38,32,19,18,25,27,4,44,43,34,39,50,28,15,58,45,83,77,55,24,31,76,86,114,100,71,58,27,83,165,128,91,108,50,34,189,179,183,189,208,85,42,194,56,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,2,3,2,5,3,2,6,5,3,7,4,6,5,12,8,11,18,13,17,18,18,30,29,25,25,27,18,52,47,41,55,40,32,32,60,54,69,48,67,46,55,83,100,66,58,78,41,40,56,52,82,73,73,50,28,65,65,67,67,63,39,35,77,60,58,70,59,53,39,93,69,66,80,76,41,32,86,60,94,62,55,44,29,62,107,75,41,67,43,35,78,79,62,93,98,56,22,85,60,70,57,56,38,31,75,56,61,60,55,49,41,67,48,44,64,69,33,23,60,41,55,75,72,47,30,75,63,70,50,80,45,29,94,60,91,75,91,54,35,93,166,147,155,131,86,53,213,293,490,1134,2255,1556,315,2602,2199,21
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,1,0,1,2,2,4,9,3,5,11,6,8,7,12,4,1,19,13,15,18,52,14,6,14,10,13,9,9,9,4,25,24,31,31,24,14,5,32,20,17,9,18,2,4,16,16,16,12,32,12,4,26,32,28,20,16,23,3,41,41,27,22,12,18,16,34,29,15,28,13,8,4,23,34,37,23,35,25,14,26,18,28,19,16,4,6,12,21,32,23,40,29,6,25,43,38,36,33,16,12,26,47,28,27,28,12,20,34,22,48,32,26,19,15,36,44,43,36,35,20,11,38,43,40,47,56,27,59,237,359,2
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,3,0,1,1,2,2,2,0,8,0,23,41,58,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,2,1,0,3,4,1,5,1,0,0,0,3,3,2,8,2,2,1,1,7,6,3,2,1,5,5,5,9,13,9,0,9,6,5,0,1,0,0,3,4,31,81,90,23,80,5,5,4,6,6,0,0,8,8,6,7,5,3,0,13,8,6,5,2,1,2,5,7,10,5,6,1,2,9,12,5,3,7,3,1,7,5,3,5,11,4,2,4,8,4,7,11,5,4,8,15,25,10,16,5,1,13,10,12,5,13,3,2,15,11,48,15,10,4,6,21,13,17,13,60,12,11,101,183,0
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,10,3,2,1,11,1,1,16,11,14,4,26,9,4,2,7,1,11,0,6,0,3,0,1,4,3,2,1,2,2,0,1,4,0,1,9,1,4,3,10,6,1,10,4,5,7,6,5,2,17,12,6,5,1,3,5,15,10,3,5,11,6,3,10,7,8,10,16,0,2,16,6,7,11,14,7,8,7,5,7,13,9,2,5,15,7,11,6,4,3,0,11,6,8,8,16,7,7,12,10,8,5,20,2,0,9,10,13,10,13,16,0,8,17,10,5,7,3,3,13,17,16,26,57,35,45,805,773,1
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,1,0,0,2,9,12,1,5,1,0,4,0,4,10,6,0,1,5,5,13,8,9,1,2,1,12,10,4,4,1,0,3,5,1,4,1,3,2,8,2,2,3,5,0,2,2,6,2,2,3,1,6,6,11,45,20,10,0,1,6,4,7,6,3,0,1,0,5,1,4,0,0,1,1,1,0,3,3,1,0,1,4,1,1,2,1,1,3,4,3,2,5,2,0,1,3,8,3,1,1,1,17,5,10,12,4,1,7,3,4,3,3,4,2,1,6,1,1,3,5,4,11,25,14,36,30,69,103,111,319,249,0
