cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020
"01",1434635,"AGUASCALIENTES",0,0,0,2,0,0,1,1,2,1,3,0,0,2,2,3,5,6,0,0,15,8,9,11,11,0,1,12,9,14,8,10,0,1,0,9,15,4,8,0,0,13,7,4,8,12,0,0,8,8,2,8,2,1,2,11,6,5,6,3,1,0,6,13,13,8,7,1,0,4,5,10,7,7,0,1,0,12,15,4,6,2,0,8,7,6,33,31,0,2,29,32,20,46,27,4,4,21,10,7,1,0,1,1,14,19,9,10,14,4,5,14,20,22,18,16,9,2,7,18,18,8,1,0,8,15,5,10,18,8,3,3,13,11,3,3,5,4,2,8,10,10,9,9,2,0,15,18,11,13,17,13,4,18,13,21,9,10,14,6,19,29,15,12,14,3,1,27,13,19,12,17,4,2,16,19,18,17,19,2,1,25,43,29,33,18,2,4,56,32,41,46,24,1,2,30,24,31,27,20,6,3,31,29,33,32,30,2,11,44,22,38,30,36,5,6,49,49,33,30,27,0,2,45,50,46,38,37,1,3,46,42,37,41,26,3,2,30,42,56,63,52,2,11,64,68,57,36,47,3,7,51,36,26,29,21,18,1,36,7,16,35,40,14,7,35,22,23,24,19,15,8,29,55,54,23,15,8,11,44,39,20,42,33,8,19,78,54,42,25,79,2,9,73,70,50,41,58,0,5,54,64,113,53,48,3,2,45,66,154,144,66,6,9,256,203,50,55,49,5,9,7,59,50,41,43,22,4,54,72,51,34,36,7,6,40,53,71,65,50,8,46,93,97,166,150,101,15,21,170,479,371,354,113
"02",3634868,"BAJA CALIFORNIA",0,0,0,1,1,0,7,5,3,3,4,2,0,4,13,19,16,10,4,4,7,3,14,20,9,1,3,10,7,10,10,9,0,1,0,4,16,21,18,0,2,13,21,5,14,12,0,1,5,7,3,7,22,0,0,4,15,5,7,8,0,1,1,4,1,7,4,0,0,0,2,1,4,7,1,0,2,4,6,10,12,3,1,5,12,37,79,162,16,35,237,212,233,284,227,30,40,320,234,262,72,114,59,27,430,342,283,392,349,88,42,324,451,346,346,379,128,44,452,397,313,109,57,79,38,111,99,110,110,86,65,26,112,135,109,88,92,61,23,120,94,89,125,121,64,38,136,177,140,128,123,73,49,131,143,114,125,117,60,42,135,114,138,101,74,59,30,122,128,121,132,116,66,28,138,142,112,113,123,39,21,133,142,114,114,124,40,32,114,113,126,96,89,49,26,77,94,102,98,85,56,27,89,84,95,95,103,53,19,76,84,78,91,67,49,12,67,83,84,86,64,33,15,69,77,91,63,71,56,25,51,72,73,42,42,32,10,66,91,78,67,57,56,9,81,95,84,87,95,59,17,73,87,118,118,109,44,22,66,23,18,125,114,44,19,72,93,80,72,91,44,8,64,75,51,50,59,49,13,56,103,104,84,71,34,10,86,67,67,81,69,28,24,75,113,120,104,88,55,30,78,115,107,133,141,58,14,102,136,98,100,136,71,27,91,182,111,140,152,53,16,24,167,192,168,105,38,40,193,333,304,287,189,80,48,188,312,312,205,245,123,76,256,429,414,565,501,200,141,483,580,610,526,4
"03",804708,"BAJA CALIFORNIA SUR",0,0,1,1,1,2,1,2,1,0,2,0,1,3,2,0,0,5,0,2,1,1,2,2,1,0,2,6,6,5,9,4,1,1,0,6,8,4,4,2,1,4,5,7,5,7,4,4,13,7,4,12,21,0,0,7,4,5,9,11,2,1,15,10,13,8,16,2,1,8,7,7,21,19,1,1,1,20,14,14,13,1,1,4,3,14,3,4,1,2,5,10,12,10,11,2,0,17,7,16,1,5,5,5,6,26,6,18,19,1,1,16,2,21,4,17,6,3,10,3,4,4,1,3,1,6,1,1,2,1,0,3,1,2,1,4,2,0,1,3,5,4,4,2,0,2,5,11,2,3,2,2,1,4,2,8,8,12,1,0,7,3,6,8,1,1,4,7,3,3,2,5,1,0,9,5,6,4,4,8,2,9,5,4,12,13,0,2,2,7,7,8,9,5,0,9,9,10,6,4,9,4,9,17,4,8,8,3,0,8,8,33,25,11,6,6,12,23,9,17,21,3,2,13,11,4,12,4,0,0,10,8,7,6,11,4,0,7,9,15,3,6,3,1,7,5,5,6,7,7,1,11,6,3,3,5,2,0,6,12,3,14,0,3,1,4,3,5,10,1,1,1,8,8,6,6,3,0,2,9,9,11,9,16,2,2,4,7,3,4,6,0,0,5,10,8,7,8,3,8,10,13,18,4,10,3,2,12,12,10,6,13,2,2,3,1,8,7,6,0,0,0,11,38,6,21,3,0,4,3,3,11,5,2,0,12,2,5,2,8,1,1,6,12,20,6,43,9,11,138,123,186,374,3
"04",1000617,"CAMPECHE",0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,1,0,0,0,0,4,0,2,3,0,0,0,0,1,1,2,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,2,0,0,0,1,0,0,0,2,4,1,0,0,0,2,0,6,5,8,0,2,9,15,5,4,3,2,1,6,11,5,1,3,2,3,17,6,15,9,6,6,2,17,5,14,8,14,14,16,26,17,13,17,8,11,16,15,13,12,14,15,7,8,16,27,21,23,18,8,6,19,18,17,15,12,9,7,21,20,17,17,9,6,8,16,13,7,12,24,11,9,29,24,22,26,21,10,0,35,33,45,24,31,29,10,62,45,65,61,56,21,19,56,55,58,90,46,41,19,47,76,46,76,43,17,22,55,49,42,47,40,39,15,48,31,25,49,28,27,9,16,28,29,28,25,8,3,27,20,13,14,10,5,1,20,32,20,10,18,7,6,7,9,10,8,5,3,0,18,6,6,13,24,7,1,13,10,15,9,20,0,2,11,12,12,5,14,12,2,8,7,2,9,8,3,2,20,8,16,21,18,1,1,11,4,6,6,6,3,2,7,5,7,11,3,1,1,6,6,9,2,5,1,1,8,3,3,9,2,11,4,6,6,14,8,7,4,2,2,0,8,8,14,2,0,3,5,7,2,10,0,1,4,3,9,5,10,1,1,18,7,8,9,48,2,0,5,7,7,4,9,3,0,11,7,6,7,23,1,5,55,49,78,30,1
"07",5730367,"CHIAPAS",0,0,0,4,0,0,3,2,2,4,0,0,1,2,1,1,5,2,0,1,4,4,1,3,2,0,0,2,2,3,6,4,0,0,0,4,2,3,0,1,3,0,4,7,1,0,0,0,0,4,0,6,0,0,0,1,1,5,2,0,0,4,7,15,17,18,7,2,2,6,20,20,4,7,1,3,4,8,16,19,5,0,7,11,7,17,19,6,3,9,12,33,26,25,20,15,10,30,41,63,42,17,14,12,15,31,35,26,40,14,20,43,47,31,61,42,17,19,41,29,36,26,16,22,24,31,51,58,35,39,38,51,53,56,46,65,77,68,58,88,94,77,78,66,54,49,100,92,82,118,75,75,68,135,124,159,140,156,99,113,253,239,205,252,223,103,157,338,313,276,297,229,193,142,373,350,728,1140,813,818,558,1068,817,482,423,337,179,212,300,293,291,233,233,155,174,156,160,184,178,148,69,101,127,98,132,120,334,84,252,123,213,216,125,279,62,49,111,103,242,235,147,81,46,177,64,147,135,114,34,25,157,176,105,105,63,21,35,86,116,89,40,43,24,42,111,98,83,96,65,44,23,85,71,74,60,67,13,35,36,50,53,20,47,36,16,77,73,82,73,44,19,19,40,57,30,53,31,13,15,94,120,110,53,48,23,24,135,103,105,50,57,23,47,91,129,99,52,57,19,54,135,109,79,84,21,22,10,55,91,69,55,44,18,17,62,41,40,60,24,5,19,24,27,60,75,63,18,32,105,71,57,27,45,20,24,97,54,79,38,71,40,38,62,64,64,27,50,19,27,167,97,144,76,1
"08",3801487,"CHIHUAHUA",0,0,3,1,1,0,4,2,1,6,0,0,6,3,0,4,1,5,3,2,5,4,6,2,7,4,1,3,3,2,3,2,5,2,4,0,3,5,4,0,2,3,3,4,1,4,0,1,7,2,5,3,0,0,2,2,2,6,3,2,0,2,5,10,2,2,3,3,1,0,2,1,2,1,0,1,0,5,8,3,7,2,2,6,7,5,5,9,0,4,25,39,42,22,29,32,8,46,44,35,18,10,28,11,33,43,53,59,67,25,12,74,75,90,65,44,21,27,35,36,40,19,31,22,11,27,28,18,19,19,20,17,18,33,23,23,22,15,7,11,16,29,18,15,8,6,19,11,6,4,3,7,3,6,8,6,3,5,0,6,13,3,2,3,4,4,5,3,1,1,6,3,1,2,3,3,6,12,14,5,5,7,6,13,9,4,4,4,3,2,13,10,4,4,3,7,0,2,2,6,8,1,10,5,5,10,5,3,6,2,10,6,7,5,1,4,7,7,10,6,5,4,3,10,9,11,17,9,10,5,11,9,7,13,6,7,5,11,8,27,15,10,5,6,6,13,16,9,10,11,6,9,20,20,11,23,11,9,13,19,9,24,12,10,14,14,16,20,13,27,8,7,22,25,38,58,99,44,18,45,43,42,41,43,19,16,52,72,46,42,61,41,33,42,65,70,56,70,30,21,80,42,64,54,37,38,33,60,58,60,67,46,34,36,46,63,23,32,32,31,21,24,21,32,27,28,17,17,22,28,27,36,24,19,12,36,24,31,34,36,28,6,27,76,36,50,70,47,29,166,85,155,102,0
"09",9018645,"DISTRITO FEDERAL",0,4,8,15,6,11,21,31,31,35,19,11,9,30,36,36,27,34,19,10,37,15,15,23,14,13,14,26,19,18,28,15,1,8,12,33,17,30,10,8,16,23,12,7,14,11,5,10,23,20,22,15,19,1,13,23,33,25,18,19,3,8,41,29,35,29,25,5,4,20,35,35,36,35,14,21,31,60,66,32,34,26,31,87,60,89,125,135,78,52,158,155,169,164,179,71,65,142,170,178,110,105,49,55,162,176,182,161,253,138,101,291,238,301,298,327,213,232,368,320,297,228,245,155,129,247,199,258,308,259,171,108,287,233,195,216,284,172,135,263,189,232,217,191,136,132,260,223,206,178,211,104,119,221,193,228,237,180,143,82,187,189,179,185,171,113,99,198,192,181,192,142,126,83,161,142,146,200,202,78,84,191,161,182,141,191,106,51,155,212,139,117,161,73,47,148,166,172,188,190,79,59,193,188,134,163,125,71,52,158,161,165,173,148,75,39,124,122,98,114,172,51,31,134,161,164,149,121,83,30,132,122,124,98,154,60,44,138,189,256,262,253,144,74,245,275,220,185,121,127,54,181,169,190,196,159,92,52,138,93,52,168,202,71,45,157,166,178,175,146,86,50,154,145,174,168,175,117,44,168,190,159,250,177,81,65,203,256,229,167,194,100,72,245,247,235,258,287,151,73,323,377,344,375,349,125,73,159,356,371,500,355,164,87,404,539,341,738,429,208,112,120,490,449,386,517,292,120,323,291,310,239,259,224,88,427,340,378,398,349,214,97,373,307,389,499,606,311,197,1636,3818,4165,2984,66
"05",3218720,"COAHUILA",0,0,0,0,0,0,3,2,1,3,3,1,1,4,6,5,1,9,0,0,14,10,9,16,7,0,2,23,17,19,21,11,1,0,0,25,21,20,19,1,1,24,21,19,16,13,0,0,32,18,13,16,14,4,4,10,10,9,7,10,0,0,10,10,7,9,4,1,3,11,10,7,1,8,1,0,1,13,9,9,15,1,2,6,7,23,46,65,15,25,40,42,42,60,49,16,26,73,54,53,26,27,11,6,57,39,28,55,75,17,7,49,50,49,46,34,12,2,43,20,30,9,3,2,6,4,10,5,6,13,7,2,12,11,8,7,17,8,9,25,11,14,11,24,12,8,23,25,22,24,73,23,11,34,46,25,21,23,19,9,50,55,46,44,37,20,7,60,30,34,42,34,11,7,40,62,46,48,69,28,10,48,52,76,75,36,42,10,84,74,37,36,31,20,19,46,39,33,46,20,14,8,76,43,47,33,56,42,29,39,35,46,31,30,17,17,32,51,87,44,50,46,8,58,63,49,45,59,36,18,40,56,33,38,84,30,25,47,34,52,39,32,22,18,36,52,46,42,43,23,16,43,43,43,29,46,11,7,37,29,14,35,25,18,4,32,46,36,22,19,36,7,40,32,21,44,56,33,12,52,50,35,50,65,46,8,62,85,58,71,92,55,33,109,101,88,113,122,78,34,134,122,189,134,188,90,25,109,100,112,112,92,58,39,130,134,111,141,109,72,22,55,94,108,122,86,87,76,62,75,118,92,164,129,14,71,102,87,118,100,14,22,75,91,110,157,94,53,26,220,212,229,374,0
"06",785153,"COLIMA",0,0,1,1,1,0,2,4,4,0,0,0,1,2,1,1,1,4,0,3,1,5,7,3,1,0,0,2,6,1,1,1,0,2,1,1,4,3,0,0,3,2,4,3,3,6,0,3,9,2,6,12,5,0,4,7,7,6,3,2,0,2,7,8,1,6,3,0,5,3,2,7,3,3,0,0,3,9,2,4,2,2,1,3,3,12,14,20,7,4,32,19,17,26,24,8,5,28,33,22,19,7,13,5,17,24,25,17,21,11,11,38,16,14,14,7,0,4,5,6,4,0,1,1,1,1,1,6,4,4,2,2,1,3,2,0,4,0,5,3,3,9,2,4,1,0,6,2,3,3,2,0,0,4,0,5,0,0,1,3,2,2,3,0,4,2,8,7,5,2,1,5,3,2,4,3,4,4,1,4,7,4,3,6,10,7,1,2,9,4,7,11,9,0,11,3,16,4,4,4,9,13,4,4,6,2,9,4,3,3,14,3,4,5,5,4,10,4,1,3,8,18,4,7,4,3,2,2,2,9,3,2,1,3,2,1,6,4,7,2,4,3,2,4,9,15,13,19,11,8,10,23,16,7,6,10,1,4,7,8,2,5,16,6,5,10,11,8,6,9,7,4,4,8,11,9,5,2,10,5,9,5,3,4,4,1,7,8,7,4,4,5,4,2,5,3,5,5,1,6,4,3,6,1,5,2,1,4,18,5,6,4,0,8,7,1,4,3,0,0,0,4,4,7,3,6,1,2,3,2,3,2,3,0,1,4,2,3,3,1,0,0,3,1,1,1,4,4,3,31,33,52,50,1
"10",1868996,"DURANGO",0,0,0,0,0,0,2,1,1,1,5,1,0,1,5,0,6,5,0,0,5,6,4,10,5,0,0,4,4,3,6,5,0,1,0,6,12,4,7,0,0,9,8,7,7,3,0,0,8,9,3,9,5,1,1,5,5,5,2,5,0,0,6,12,1,2,3,0,0,6,5,0,4,5,0,0,1,1,5,7,4,0,0,3,2,1,7,11,1,1,27,8,20,5,5,1,0,11,5,8,0,2,0,1,9,6,6,3,9,0,1,4,13,9,6,11,3,3,5,12,3,5,1,1,0,2,4,1,5,5,0,0,2,6,7,8,5,5,1,12,8,2,6,3,4,3,2,5,9,6,13,2,6,4,6,17,14,6,2,3,13,6,13,14,8,8,4,19,10,10,5,2,3,0,8,4,33,86,96,23,77,5,9,8,4,6,4,1,9,10,11,15,9,3,3,12,10,14,17,3,4,3,10,12,16,11,11,1,2,11,17,12,7,20,5,2,6,10,6,15,16,4,1,9,17,7,8,17,4,18,12,16,13,14,17,4,1,10,9,9,4,13,3,3,15,19,15,28,18,4,4,20,15,17,16,20,3,1,12,2,0,16,8,2,6,15,23,12,14,14,4,1,15,13,9,8,7,7,1,14,24,15,19,16,5,1,21,20,22,30,31,11,6,42,28,41,43,64,51,8,34,23,49,30,35,8,7,34,37,41,36,97,18,8,210,145,42,40,42,16,5,10,29,36,23,18,28,3,48,56,75,28,71,6,8,39,24,36,64,80,4,2,54,36,24,31,49,4,8,74,86,129,178,0
