cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021
"01",1434635,"AGUASCALIENTES",0,0,0,2,0,0,1,1,2,1,3,0,0,2,2,3,5,6,0,0,15,8,9,11,10,0,1,12,9,14,8,10,0,1,0,9,15,4,8,0,0,13,7,4,8,12,0,0,8,8,2,8,2,1,2,11,6,5,6,3,1,0,6,13,13,8,7,1,0,4,5,10,7,7,0,1,0,12,15,4,6,2,0,8,7,6,33,31,0,2,29,32,20,45,27,4,4,20,10,7,1,0,1,1,14,19,9,10,14,4,5,14,20,22,18,16,9,2,7,18,18,8,1,0,8,15,5,10,18,8,3,3,13,11,3,3,6,4,2,8,10,10,9,9,2,0,15,18,11,13,17,13,4,18,14,21,9,10,14,6,19,29,15,12,14,3,1,27,13,19,12,17,4,2,16,19,18,17,19,2,1,25,43,29,33,18,2,4,56,32,41,46,24,1,2,30,24,31,27,20,6,3,31,29,33,32,30,2,11,44,21,38,30,36,5,6,49,48,33,30,26,0,2,45,50,45,37,35,1,3,46,40,37,41,26,3,2,30,42,55,63,51,2,11,62,68,57,36,47,3,8,51,36,26,29,21,18,1,36,7,16,35,40,14,7,35,22,23,24,19,15,8,29,55,54,22,15,8,11,44,39,19,42,33,8,19,77,54,43,25,79,1,9,73,70,50,41,58,0,5,54,64,112,52,46,2,2,43,64,154,142,62,7,9,248,200,50,58,49,5,8,7,61,50,40,43,21,4,54,72,52,35,35,6,6,40,52,69,64,49,9,45,93,98,164,151,90,12,21,46,53,49,26,24,0,6,41,41,21,21,5,10,2,59,35,34,40,12,30,12,50,63,38,47,121,16,11,65,78,50,55,56,17,13,176,173,127,7
"02",3634868,"BAJA CALIFORNIA",0,0,0,1,1,0,7,5,3,3,4,2,0,4,13,19,16,10,4,4,7,3,14,20,9,1,3,10,7,10,10,9,0,1,0,4,16,21,18,0,2,13,21,5,14,12,0,1,5,7,3,7,22,0,0,4,15,5,7,8,0,1,1,4,1,7,4,0,0,0,2,1,4,7,1,0,2,4,6,10,11,3,1,5,12,37,79,162,16,35,237,212,234,284,227,30,40,319,234,261,72,114,59,27,430,342,283,392,349,88,42,324,451,346,346,379,128,43,451,397,313,109,57,79,37,111,99,109,110,86,65,26,112,135,109,86,91,61,23,120,93,88,125,121,64,38,135,177,139,127,123,73,49,131,141,114,124,117,60,42,133,114,137,101,74,58,29,120,128,120,132,117,66,28,139,143,112,113,123,39,21,133,142,114,114,122,39,31,115,113,126,95,89,49,24,77,94,102,97,84,56,27,88,84,95,95,103,53,18,75,83,78,91,67,49,12,67,82,84,86,64,33,14,69,76,91,63,70,55,25,51,72,73,42,42,32,10,66,90,79,67,57,55,9,80,95,84,86,95,59,16,73,87,117,117,109,44,22,66,22,18,124,113,44,19,72,93,79,71,90,44,7,64,74,51,49,59,49,13,54,102,105,84,71,34,10,86,65,64,81,68,28,24,75,112,117,103,87,55,29,78,115,106,133,136,58,15,102,136,97,102,137,72,25,90,182,112,138,152,54,16,24,167,187,163,100,33,37,177,316,280,253,163,72,32,161,255,275,149,185,77,39,165,272,276,289,296,67,57,249,297,298,315,291,120,43,282,283,171,95,15,57,31,187,205,226,65,23,69,32,103,104,118,107,117,46,24,110,104,101,67,52,48,20,118,126,120,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,1,1,1,2,1,2,1,0,2,0,1,3,2,0,0,5,0,2,1,1,2,2,1,0,2,6,6,5,9,4,1,1,0,6,8,4,4,2,1,4,5,7,5,7,4,4,13,7,4,12,21,0,0,7,4,5,9,11,2,1,15,10,13,8,16,2,1,8,7,7,21,19,1,1,1,20,14,14,13,1,1,4,3,14,3,4,1,2,5,10,12,10,11,2,0,17,7,16,1,5,5,5,6,26,6,18,19,1,1,16,2,21,4,17,6,3,10,3,4,4,1,3,1,6,1,1,2,1,0,3,1,2,1,4,2,0,1,3,5,4,4,2,0,2,5,11,2,3,2,2,1,4,2,8,8,12,1,0,7,3,6,8,1,1,4,7,3,3,2,5,1,0,9,5,6,4,4,8,2,9,5,4,12,13,0,2,2,7,7,8,7,5,0,9,9,10,6,4,9,4,9,17,4,8,8,3,0,8,7,33,25,11,6,6,12,23,9,16,20,3,2,13,11,4,10,4,0,0,10,8,7,6,9,4,0,7,9,15,3,6,3,1,6,5,5,6,7,7,1,10,5,3,2,5,2,0,6,12,3,14,0,3,1,4,3,5,10,1,1,1,8,8,6,6,3,0,2,8,8,11,9,16,2,2,4,7,3,3,6,0,0,5,10,7,7,8,3,8,9,12,17,4,10,3,2,12,12,10,6,13,2,2,2,1,8,6,6,0,0,0,10,38,6,21,3,0,4,3,3,11,5,2,0,12,2,6,2,7,1,1,6,10,17,5,6,0,0,6,3,11,7,4,3,4,16,12,9,12,2,1,0,4,6,7,2,4,6,2,14,35,10,7,12,2,1,10,16,22,22,31,20,17,61,221,375,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,1,0,0,0,0,4,0,2,3,0,0,0,0,1,1,2,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,2,0,0,0,1,0,0,0,2,4,1,0,0,0,2,0,6,5,8,0,2,9,15,5,4,3,2,1,6,11,5,1,3,2,3,17,6,15,9,6,6,2,17,5,14,8,14,14,16,26,17,13,17,8,11,16,15,13,12,14,15,7,8,16,27,21,23,18,8,6,19,18,17,15,12,9,7,21,20,17,17,9,6,8,16,13,7,11,24,11,9,29,24,22,26,21,10,0,35,33,45,24,31,29,10,62,45,65,61,56,21,19,56,55,58,90,46,41,19,47,76,46,76,43,17,22,54,49,42,47,40,39,15,48,31,25,49,28,27,9,16,28,29,28,25,7,3,27,20,13,14,10,5,1,20,32,20,10,18,7,6,7,9,10,8,5,3,0,18,6,6,13,24,7,1,13,10,15,8,20,0,2,11,12,12,5,14,12,2,8,7,2,9,8,3,2,20,8,16,21,18,1,1,11,4,6,6,6,3,2,7,5,7,11,3,1,1,6,6,9,2,5,1,1,8,3,3,9,2,11,4,6,6,14,8,7,4,2,2,0,7,8,14,2,0,3,5,7,2,10,0,1,4,3,8,5,10,1,1,18,6,7,8,45,2,0,2,6,7,4,8,3,0,6,5,2,4,7,0,4,10,5,9,14,10,2,0,16,6,10,6,0,2,3,9,8,22,7,0,1,5,15,4,18,11,38,6,2,30,9,29,38,35,1,6,50,47,62,0
"07",5730367,"CHIAPAS",0,0,0,4,0,0,3,2,2,4,0,0,1,2,1,1,5,2,0,1,4,4,1,3,2,0,0,2,2,3,6,4,0,0,0,4,2,3,0,1,3,0,4,7,1,0,0,0,0,4,0,6,0,0,0,1,1,5,2,0,0,4,7,15,17,18,7,2,2,6,20,20,4,7,1,3,4,8,16,19,5,0,7,11,7,17,19,6,3,9,12,33,26,25,20,15,10,30,41,63,42,17,14,12,15,31,35,26,40,14,20,43,47,31,61,42,17,19,41,29,36,26,16,22,24,31,51,58,35,39,38,51,53,56,46,65,77,68,58,88,94,77,78,66,54,49,100,93,82,118,75,75,68,135,124,159,140,156,99,113,253,239,205,252,223,103,157,338,313,276,297,230,193,142,373,350,728,1140,813,818,558,1068,817,482,422,337,179,212,300,293,291,233,233,155,174,156,160,184,178,148,69,101,127,98,132,120,334,84,252,123,213,216,125,279,62,49,111,103,242,235,147,81,46,177,64,147,135,114,34,25,157,176,105,105,63,21,35,86,116,89,40,43,24,42,111,98,83,96,65,44,23,85,71,74,60,67,13,35,36,50,53,20,47,36,16,77,73,82,73,44,19,19,40,57,30,53,31,13,15,94,120,110,53,48,24,24,135,103,105,50,57,23,47,91,129,98,52,56,19,54,135,109,79,84,21,22,10,55,91,69,54,44,18,17,62,41,40,60,25,5,20,24,28,63,75,65,18,33,105,74,57,26,45,20,24,105,58,82,38,73,44,39,66,58,63,31,43,22,21,122,55,54,56,30,30,43,87,38,66,19,30,41,42,98,78,87,43,28,29,41,103,65,118,115,70,52,59,96,131,101,104,89,55,112,175,157,66,1
"08",3801487,"CHIHUAHUA",0,0,3,1,1,0,4,2,1,6,0,0,6,3,0,4,1,5,3,2,5,4,6,2,7,4,1,3,3,2,3,2,5,2,4,0,3,5,4,0,2,3,3,4,1,4,0,1,7,2,5,3,0,0,2,2,2,6,3,2,0,2,5,10,2,2,3,3,1,1,2,1,2,1,0,1,0,5,8,3,7,2,2,8,7,6,5,11,1,4,26,39,42,27,31,32,8,45,45,35,18,10,28,11,33,43,53,59,67,26,12,75,75,90,65,44,20,27,35,36,40,21,32,22,11,27,27,17,19,19,20,17,18,33,23,23,22,15,7,11,16,29,18,16,8,6,19,11,6,4,4,7,3,6,8,6,3,5,0,6,13,3,2,3,4,4,5,3,1,1,6,3,1,2,3,3,6,12,14,5,5,7,6,13,9,4,4,4,3,2,13,10,4,4,3,7,0,2,2,6,8,1,10,5,5,10,5,3,6,2,8,4,4,4,1,4,3,6,9,5,3,3,3,7,6,10,17,6,6,4,10,4,7,9,3,6,3,10,7,14,10,9,4,4,4,10,14,8,6,3,5,8,15,20,11,16,10,8,10,17,4,24,9,8,13,14,12,15,12,16,8,7,16,22,23,25,64,24,9,21,41,43,34,37,29,23,71,67,45,48,59,49,31,37,58,48,33,51,25,20,65,34,53,55,33,37,38,50,54,75,65,48,35,36,41,55,26,31,44,39,25,30,25,36,31,35,29,18,25,33,35,43,28,20,10,36,30,30,31,30,30,5,20,52,30,34,45,21,18,55,30,24,25,27,22,28,42,39,40,32,8,23,15,31,12,17,10,19,21,12,19,21,26,36,32,12,18,22,28,38,41,64,39,33,139,136,125,0
"09",9018645,"DISTRITO FEDERAL",0,4,8,15,6,11,21,31,31,35,19,11,9,30,36,36,27,34,19,10,37,15,15,23,14,13,14,26,19,18,28,15,1,8,12,33,17,30,10,8,16,23,12,7,14,11,5,10,23,20,22,15,19,1,13,23,33,25,18,19,3,8,41,29,35,29,25,5,4,20,35,35,36,35,14,21,31,60,66,32,34,26,31,87,60,89,125,135,78,52,158,155,169,164,180,71,65,143,170,178,110,105,49,55,162,176,182,162,253,138,101,291,238,301,298,327,211,232,368,320,296,228,245,155,127,247,198,258,303,258,170,108,286,233,194,216,282,170,134,263,189,229,216,190,133,129,258,220,205,177,209,100,117,216,189,226,237,177,137,78,183,187,176,181,166,109,97,188,185,168,183,141,123,81,143,136,139,188,190,77,80,186,158,174,137,186,101,47,140,197,133,112,153,59,38,134,151,157,171,170,75,46,176,176,124,147,116,62,50,139,146,146,158,138,67,25,119,112,90,100,156,42,26,119,146,149,138,108,72,28,121,111,114,85,155,54,45,133,203,262,250,244,138,69,219,246,181,159,103,106,40,154,144,166,172,146,79,36,114,77,37,133,169,54,38,146,150,165,161,136,80,45,141,131,168,150,159,109,38,155,179,152,237,165,79,58,195,237,210,138,176,86,62,209,219,204,217,246,133,58,277,319,300,318,305,109,44,110,275,296,401,281,116,64,324,435,286,612,365,200,109,117,453,424,366,462,296,116,274,288,335,217,267,251,89,419,380,418,428,367,200,96,379,372,338,492,413,235,96,424,430,472,337,402,176,112,672,387,530,298,95,139,125,456,331,353,237,130,185,133,346,254,257,300,318,308,154,383,429,293,341,388,179,163,832,1183,1386,38
"05",3218720,"COAHUILA",0,0,0,0,0,0,3,2,1,3,3,1,1,4,6,5,1,9,0,0,14,10,9,16,7,0,2,23,17,19,21,11,1,0,0,25,21,20,19,1,1,24,21,19,16,13,0,0,32,18,13,16,14,4,4,10,10,9,7,10,0,0,10,10,7,9,4,1,3,11,10,7,1,8,1,0,1,13,9,9,15,1,2,6,7,23,46,65,15,25,40,42,42,60,49,16,26,73,54,53,26,27,11,6,57,39,28,55,75,17,7,49,50,49,46,34,12,2,43,20,30,9,3,2,6,4,10,5,6,13,7,2,12,11,8,7,17,8,9,25,11,14,11,24,12,8,23,25,21,24,73,23,11,34,46,25,21,23,19,9,50,55,46,44,37,20,7,60,30,34,42,34,11,8,40,62,47,48,69,28,10,48,52,77,74,36,42,10,84,74,37,36,31,21,19,46,40,34,46,20,14,8,76,43,47,33,55,42,29,39,35,45,31,30,17,17,31,51,87,44,50,46,8,58,63,49,45,59,36,18,40,56,38,38,84,30,25,50,34,52,40,33,22,18,36,52,46,42,44,22,16,43,43,43,29,48,11,7,37,29,14,34,25,18,4,31,50,36,22,21,36,7,39,32,22,43,59,33,12,51,50,34,50,67,46,8,62,85,59,69,92,54,33,105,100,88,112,122,77,32,134,121,188,100,186,78,18,96,50,67,79,82,38,20,93,118,88,115,88,58,23,31,71,96,89,71,67,64,36,49,92,61,150,125,15,37,83,65,99,93,14,22,56,62,88,153,63,28,7,49,54,48,53,95,14,16,68,117,124,16,12,10,16,53,77,57,55,13,48,23,61,69,89,65,61,19,17,51,96,114,94,125,51,24,70,252,363,2
"06",785153,"COLIMA",0,0,1,1,1,0,2,4,4,0,0,0,1,2,1,1,1,4,0,3,1,5,7,3,1,0,0,2,6,1,1,1,0,2,1,1,4,3,0,0,3,2,4,3,3,6,0,3,9,2,6,12,5,0,4,7,7,6,3,2,0,2,7,8,1,6,3,0,5,3,2,7,3,3,0,0,3,9,2,4,2,2,1,3,3,12,14,20,7,4,32,19,17,26,24,8,5,28,33,22,19,7,13,5,17,24,25,17,21,11,11,38,16,14,14,7,0,4,5,6,4,0,1,1,1,1,1,6,4,4,2,2,1,3,2,0,4,0,5,3,3,9,2,4,1,0,6,2,3,3,2,0,0,4,0,5,0,0,1,3,2,2,3,0,4,2,8,7,5,2,1,5,3,2,4,3,4,4,1,4,7,4,3,6,10,7,1,2,9,4,7,11,9,0,11,3,16,4,4,4,9,13,4,4,6,2,9,4,3,3,14,3,4,5,5,4,10,4,1,3,8,18,4,7,4,3,2,2,2,9,3,2,1,3,2,1,6,4,7,2,4,3,2,4,9,15,13,19,11,8,10,23,16,7,6,11,1,4,7,8,2,5,16,6,5,10,11,8,6,9,7,4,4,8,11,9,5,2,10,5,9,5,3,4,4,1,7,8,7,4,4,5,4,2,5,3,5,5,1,6,4,3,6,1,5,2,1,4,18,5,5,4,0,8,7,1,4,3,0,0,0,4,4,7,3,5,1,2,4,2,3,2,3,0,1,4,2,2,3,1,0,0,3,1,1,1,3,3,0,1,6,5,1,2,0,1,2,4,3,8,0,2,2,5,2,1,1,0,0,1,5,7,6,6,3,2,2,3,8,5,17,20,3,3,35,48,59,2
"10",1868996,"DURANGO",0,0,0,0,0,0,2,1,1,1,5,1,0,1,5,0,6,5,0,0,5,6,4,10,5,0,0,4,4,3,6,5,0,1,0,6,12,4,7,0,0,9,8,7,7,3,0,0,8,9,3,9,5,1,1,5,5,5,2,5,0,0,6,12,1,2,3,0,0,6,5,0,4,5,0,0,1,1,5,7,4,0,0,3,2,1,7,11,1,1,27,8,20,5,5,1,0,11,5,8,0,2,0,1,9,6,6,3,9,0,1,4,13,9,6,11,3,3,5,12,3,5,1,1,0,2,4,1,5,5,0,0,2,6,7,8,5,5,1,12,8,2,6,3,4,3,2,5,10,6,12,2,6,4,6,17,14,6,2,3,13,6,13,14,8,8,4,19,10,10,5,1,3,0,8,4,33,86,95,23,76,5,9,8,4,6,4,1,8,10,11,14,9,3,3,11,7,12,15,3,4,3,10,12,15,11,11,1,2,11,13,11,7,16,4,1,4,9,6,15,14,2,1,7,15,5,7,17,3,17,12,9,12,13,13,1,1,9,9,8,4,12,3,2,14,18,13,24,16,3,3,20,14,16,16,17,3,1,12,2,0,16,8,2,2,14,20,12,10,14,4,1,15,11,8,3,7,5,1,13,23,13,17,13,4,1,16,18,18,19,19,8,2,30,20,36,34,57,47,4,30,17,40,27,30,2,4,22,20,33,24,80,9,7,196,126,36,34,36,10,5,3,21,26,17,12,3,1,35,37,70,17,15,3,7,37,18,18,44,58,0,1,47,31,20,28,40,1,2,44,10,10,21,47,0,0,16,26,46,28,0,2,2,12,25,22,13,0,5,3,52,24,28,21,31,5,4,13,19,22,24,12,3,1,43,79,112,1
