cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021
"01",1434635,"AGUASCALIENTES",0,0,0,2,0,0,1,1,2,1,3,0,0,2,2,3,5,6,0,0,15,8,9,11,10,0,1,12,9,14,8,10,0,1,0,9,15,4,8,0,0,12,7,4,8,12,0,0,8,8,2,8,2,1,2,11,7,5,6,3,1,0,6,13,13,8,7,1,0,4,5,10,7,7,0,1,0,12,15,4,6,2,0,8,7,6,33,31,0,2,29,32,20,45,27,5,4,20,10,7,1,0,1,1,14,19,9,10,14,4,5,14,20,22,18,16,9,2,7,18,18,8,1,0,8,15,5,10,18,8,3,3,13,11,3,3,6,4,2,8,10,10,9,9,2,0,15,18,11,13,16,13,4,18,14,21,9,10,14,6,19,29,15,12,14,3,1,27,13,19,12,17,4,2,16,19,18,17,19,2,1,25,43,29,33,18,2,4,55,32,41,46,24,1,2,30,24,31,27,20,6,3,31,29,33,32,30,2,11,45,21,38,30,36,5,6,49,48,33,30,26,0,2,45,50,45,37,35,1,3,46,40,37,41,26,3,2,30,42,55,63,51,2,11,62,68,57,36,47,3,8,51,36,25,29,21,18,1,36,7,16,35,40,14,7,35,22,23,24,19,14,8,29,54,54,22,15,8,11,44,38,19,44,31,8,19,76,55,43,25,80,1,10,74,71,47,41,59,0,5,54,64,113,56,44,2,2,42,63,100,103,44,7,9,207,154,48,57,50,5,8,7,62,50,46,41,14,4,56,69,51,36,35,6,8,53,62,68,66,53,9,45,88,96,165,153,86,12,21,46,54,49,27,24,0,6,48,39,23,22,6,13,3,65,39,34,39,8,31,8,49,69,38,52,93,14,2,62,56,48,47,45,16,8,61,46,29,26,20,16,4,42,42,35,33,42,8,9,12,71,49,52,21,5,5,54,30,35,28,26,1,3,45,29,26,19,11,12,14,27,18,15,21,24,0,9,23,22,17,29,20,4,2,19,22,25,21,3,6,14,3,18,15,13,19,14,8,9,8,15,44,34,128,3
"02",3634868,"BAJA CALIFORNIA",0,0,0,1,1,0,7,5,3,3,4,2,0,4,13,19,16,10,4,4,7,3,14,20,9,1,3,10,7,10,10,9,0,1,0,4,16,21,18,0,2,13,21,5,14,12,0,1,5,7,3,7,22,0,0,4,15,5,7,8,0,1,1,4,1,7,4,0,0,0,2,1,4,7,1,0,2,4,6,10,11,3,1,5,12,37,79,162,16,35,237,212,234,284,227,30,40,319,233,261,72,114,59,27,430,342,283,392,349,88,42,324,451,345,346,379,128,43,451,397,313,109,57,79,37,111,98,109,110,86,65,26,112,134,109,86,91,61,23,120,93,88,124,121,64,38,134,177,139,127,123,73,47,131,141,114,124,117,60,42,133,114,137,100,74,58,29,120,128,120,132,117,66,27,139,142,112,113,123,39,21,133,142,114,115,122,39,31,115,113,126,94,89,49,24,77,94,102,96,84,56,27,88,84,95,94,103,54,18,75,83,78,91,67,49,12,67,82,84,86,64,33,14,69,74,91,64,69,55,25,51,72,73,42,42,32,10,66,90,78,67,57,55,9,81,95,83,84,95,58,16,67,82,112,112,100,42,20,64,20,16,116,107,38,17,69,91,78,65,90,43,4,60,72,48,49,57,47,10,53,102,101,85,66,30,10,84,65,60,78,66,24,23,74,107,113,100,82,53,27,73,113,104,131,135,57,14,99,135,94,100,133,70,21,88,182,107,133,149,50,15,23,155,185,158,96,33,31,167,306,272,242,157,70,33,156,244,275,139,183,72,39,165,268,268,286,291,62,46,246,296,292,308,270,99,32,276,272,170,89,14,53,19,177,202,219,57,10,63,14,95,96,106,94,100,35,18,106,89,86,48,36,36,15,43,36,51,34,36,21,13,23,42,41,28,18,8,8,16,30,32,11,18,7,7,24,23,19,13,23,4,9,14,21,13,10,15,6,6,24,10,9,7,12,1,4,8,14,15,5,5,4,4,16,12,12,17,15,5,4,9,31,15,18,22,11,8,33,39,26,37,31,3,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,1,1,1,2,1,2,1,0,2,0,1,3,2,0,0,5,0,2,1,1,2,2,1,0,2,6,6,5,9,4,1,1,0,6,8,4,4,2,1,4,5,7,5,7,4,4,13,7,4,12,21,0,0,7,4,5,9,11,2,1,15,10,13,8,16,2,1,8,7,7,21,19,1,1,1,20,14,14,13,1,1,4,3,14,3,4,1,2,5,10,12,10,11,2,0,17,7,16,1,5,5,5,6,26,6,18,19,1,1,16,2,21,4,17,6,3,10,3,4,4,1,3,1,6,1,1,2,1,0,3,1,2,1,4,2,0,1,3,5,4,4,2,0,2,5,11,2,3,2,2,1,4,2,8,8,12,1,0,7,3,6,8,1,1,4,7,3,3,2,5,1,0,9,5,6,4,4,8,2,9,5,4,12,13,0,2,2,7,7,8,7,5,0,9,9,9,6,4,9,4,9,17,4,8,7,3,0,7,6,33,24,11,6,6,12,23,8,16,20,3,2,13,11,4,10,4,0,0,10,8,7,6,9,4,0,7,9,15,3,6,3,1,6,5,5,6,7,7,1,10,6,3,2,5,2,0,6,12,3,14,0,3,1,4,4,4,10,1,1,1,8,8,6,6,3,0,2,8,7,11,9,16,2,2,4,7,3,3,6,1,0,4,10,7,7,8,3,8,10,13,17,4,10,3,2,12,13,10,6,13,2,2,1,1,8,5,6,0,0,0,10,38,6,20,3,0,4,3,3,11,5,2,0,12,2,6,2,7,1,1,6,10,17,5,6,0,0,7,3,11,7,4,3,4,16,12,8,12,2,1,0,4,6,6,2,4,6,2,13,34,7,6,8,2,1,11,13,19,8,23,5,5,9,22,21,11,18,15,1,10,12,5,21,6,1,0,2,6,20,6,7,3,1,9,13,3,7,8,2,2,10,7,7,4,3,0,1,3,4,3,6,1,2,0,2,2,1,2,0,2,0,2,2,2,1,7,2,0,1,1,3,2,8,1,1,2,16,12,41,77,63,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,1,0,1,4,0,0,1,0,0,0,1,0,0,0,0,4,0,2,3,0,0,0,0,1,1,2,0,1,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,0,0,2,0,0,0,1,0,0,0,2,4,1,0,0,0,2,0,6,6,8,0,2,9,15,5,4,3,2,1,6,11,5,1,3,2,3,17,6,15,9,6,6,2,17,5,14,8,14,14,16,26,17,13,17,8,11,16,15,13,12,14,15,7,8,16,27,21,23,18,8,6,19,17,16,14,12,9,7,21,20,17,17,9,6,8,16,13,7,11,24,11,9,29,24,22,26,21,10,0,35,33,44,24,31,29,10,62,45,65,61,56,21,19,56,55,58,90,46,41,19,47,75,45,76,43,17,23,54,49,42,47,40,39,16,48,31,25,49,28,27,9,16,28,29,28,25,7,3,27,21,13,14,10,5,1,20,32,20,10,18,7,6,7,9,10,8,5,3,0,18,6,6,13,24,7,1,13,10,15,8,20,0,2,11,12,12,5,14,11,2,8,7,2,9,8,3,2,20,8,16,20,17,1,1,11,4,6,6,6,3,2,7,5,7,11,3,1,1,6,6,9,3,4,1,1,8,3,3,9,2,11,4,6,5,14,8,7,4,2,2,0,7,8,14,2,0,3,5,7,2,9,0,1,4,3,8,5,10,1,1,18,6,7,8,45,2,0,2,6,6,4,8,3,0,6,5,2,4,7,0,4,10,5,9,13,10,2,0,16,6,10,6,0,1,3,9,9,21,7,0,1,5,13,4,10,8,22,4,1,14,5,2,7,14,0,0,9,6,9,5,11,1,1,1,8,16,6,7,0,0,1,6,11,5,13,3,4,11,7,9,6,6,1,0,6,6,3,4,4,1,2,3,1,12,6,10,1,3,6,2,8,13,8,1,6,2,7,10,4,12,1,0,3,3,7,3,4,4,2,15,13,100,98,9,3,0
"07",5730367,"CHIAPAS",0,0,0,4,0,0,3,2,2,4,0,0,1,2,1,1,5,2,0,1,4,4,1,3,2,0,0,2,2,3,6,4,0,0,0,4,2,3,0,1,3,0,4,7,1,0,0,0,0,4,0,6,0,0,0,1,1,5,2,0,0,4,7,15,17,18,7,2,2,6,20,20,4,7,1,3,4,8,16,19,5,0,7,11,7,17,19,6,3,9,12,33,26,25,20,15,10,30,41,63,42,17,14,12,15,31,35,26,40,14,20,43,47,31,61,42,17,19,41,28,36,25,16,22,24,31,51,58,35,39,38,51,53,57,46,64,77,68,58,88,94,77,78,66,54,49,100,93,82,118,75,75,68,135,124,159,140,156,99,113,253,239,205,252,223,103,157,338,312,276,297,230,193,142,373,350,728,1140,813,818,558,1068,816,482,422,337,179,212,299,293,291,233,233,155,174,156,160,184,178,148,69,101,127,98,132,120,334,84,252,123,213,216,125,279,62,49,111,103,242,235,147,81,46,175,64,147,135,115,34,25,157,176,105,105,63,21,35,86,116,89,40,43,24,42,111,98,83,96,65,44,23,85,71,74,60,67,13,35,36,50,53,20,47,36,16,77,73,82,73,44,19,19,40,57,30,53,31,13,15,94,120,110,53,48,24,24,135,103,105,50,57,23,47,91,129,98,51,56,20,53,135,109,79,84,21,22,10,55,91,69,54,44,18,17,62,39,39,60,25,5,20,24,28,63,75,65,18,33,105,73,57,26,44,20,24,105,56,82,39,73,44,39,66,58,62,31,42,22,21,121,54,54,54,30,30,43,86,38,67,17,31,42,43,98,78,85,43,28,29,41,105,65,116,116,72,52,60,92,132,115,103,85,54,97,207,124,106,82,54,67,47,143,101,98,105,84,61,78,84,83,72,80,151,94,72,149,121,111,114,89,40,51,119,86,96,117,64,53,37,99,70,50,49,31,28,40,55,86,69,66,24,20,16,40,33,37,38,14,20,28,36,41,44,16,16,22,17,33,31,31,25,13,3,0
"08",3801487,"CHIHUAHUA",0,0,3,1,1,0,4,2,1,6,0,0,6,3,0,4,1,5,3,2,5,4,6,2,7,4,1,3,3,2,3,2,5,2,4,0,3,5,4,0,2,3,3,4,1,4,0,1,7,2,5,3,0,0,2,2,2,6,3,2,0,2,5,10,2,2,3,3,1,1,2,1,2,1,0,1,0,5,8,3,7,2,2,8,7,6,5,11,1,4,26,39,42,27,31,32,8,45,45,35,18,10,28,11,33,43,53,59,67,26,12,75,75,84,64,44,19,27,35,35,40,19,31,21,11,26,25,17,19,19,20,17,17,29,23,20,18,13,6,8,12,19,10,15,5,4,14,7,6,4,3,7,3,6,8,6,3,5,0,6,13,3,2,2,4,3,5,3,1,1,6,3,1,2,3,3,6,12,14,5,5,7,6,13,9,4,4,4,3,2,13,10,4,4,3,7,0,2,2,6,8,1,10,5,5,10,5,3,6,2,8,4,4,3,1,4,2,6,9,4,3,3,3,7,6,10,16,5,5,4,9,4,7,9,2,6,2,9,6,13,10,8,4,4,4,10,11,7,4,3,4,8,14,19,10,9,8,8,9,16,2,19,7,7,11,13,11,12,12,13,6,7,13,18,21,15,19,17,7,18,39,36,23,27,16,9,36,45,33,31,48,31,24,36,75,40,29,40,21,18,55,31,42,50,27,35,26,47,43,52,50,29,23,18,23,41,22,28,29,26,22,21,17,26,28,28,17,16,19,26,21,32,24,14,9,34,22,20,24,20,23,5,18,42,20,27,35,15,12,50,21,18,17,21,14,12,31,26,28,23,7,22,13,22,13,16,6,11,11,8,14,18,15,23,16,5,10,7,10,7,9,19,9,8,19,13,13,8,7,11,5,14,18,12,13,15,4,6,5,22,16,19,23,18,11,26,34,30,19,21,4,2,6,20,15,13,23,11,8,16,12,12,15,9,2,5,13,8,14,12,18,2,7,16,14,8,11,10,5,5,6,9,20,10,11,14,9,29,29,65,56,58,3,0
"09",9018645,"DISTRITO FEDERAL",0,4,8,15,6,11,20,31,31,35,19,11,9,30,36,36,27,34,19,10,37,15,15,23,14,13,14,26,19,18,28,15,1,8,12,33,17,30,10,8,16,23,12,7,14,11,5,10,23,21,21,16,19,1,13,22,33,25,17,19,3,10,41,28,33,28,22,5,3,19,35,34,32,34,14,21,33,63,68,34,40,29,35,86,63,96,123,142,90,57,163,151,173,172,182,77,71,140,171,181,115,114,56,57,178,177,183,165,260,143,95,294,242,307,302,334,203,234,368,319,284,218,252,158,125,243,204,258,295,271,180,123,287,248,203,239,295,182,147,274,195,246,217,197,142,132,258,230,222,185,215,105,128,249,189,228,240,189,147,88,201,208,188,184,167,126,101,198,194,179,202,157,127,78,149,145,145,193,192,79,88,194,160,190,139,189,118,52,147,199,137,109,160,55,34,145,158,167,172,181,73,46,191,177,133,157,133,58,47,143,151,144,163,150,66,21,123,119,99,106,162,45,27,119,146,151,138,99,70,24,127,110,115,78,147,47,40,136,196,255,246,232,132,67,224,216,147,154,98,96,36,147,130,154,162,141,73,33,113,67,34,130,162,50,35,138,134,140,136,120,77,38,132,131,160,144,142,107,32,147,171,150,230,163,78,53,190,229,200,130,171,82,61,202,214,190,211,243,129,55,272,305,285,309,295,106,45,118,268,286,357,273,107,62,303,419,274,593,302,217,116,106,692,396,332,435,279,103,239,256,280,201,189,209,78,321,264,313,327,256,156,80,274,223,251,250,227,175,68,351,369,368,332,511,208,137,322,259,386,211,72,138,79,284,272,283,178,134,134,89,274,265,223,783,423,280,119,305,742,342,522,559,152,122,388,402,363,460,391,411,114,233,488,377,254,345,189,103,85,449,239,208,303,221,94,237,253,173,185,265,104,70,199,192,324,207,240,90,76,224,174,197,159,198,82,53,219,268,174,188,189,149,63,138,118,91,154,158,108,56,62,125,127,128,126,103,76,119,157,145,377,744,306,3
"05",3218720,"COAHUILA",0,0,0,0,0,0,3,2,1,3,3,1,1,4,6,5,1,9,0,0,14,10,9,16,7,0,2,23,17,19,21,11,1,0,0,25,21,20,19,1,1,24,21,19,16,13,0,0,32,18,13,16,14,4,4,10,10,9,7,10,0,0,10,10,7,9,4,1,3,11,10,7,1,8,1,0,1,13,9,10,15,1,2,6,7,23,46,65,15,25,40,42,42,60,49,16,26,73,54,53,26,27,11,6,57,39,28,55,75,17,7,49,50,49,46,34,12,2,43,20,30,9,3,2,6,4,9,5,6,13,7,2,12,11,8,5,14,7,9,20,5,13,7,21,8,7,9,16,12,10,63,10,10,22,41,18,14,15,10,7,35,42,30,27,25,11,7,50,27,32,42,34,11,8,40,61,47,48,63,28,9,48,50,74,67,36,30,9,71,67,37,33,27,14,18,35,33,31,39,22,14,8,76,43,48,34,55,42,29,39,35,44,28,28,14,16,30,48,82,35,42,33,8,50,51,42,38,58,32,17,34,49,31,37,84,27,23,36,27,37,29,21,16,16,31,46,39,35,36,11,15,35,38,35,24,35,8,6,23,23,9,27,21,11,4,24,37,26,16,17,27,7,35,26,15,40,54,21,11,41,47,24,38,51,32,5,46,50,54,40,46,14,5,46,48,60,50,77,33,19,84,82,126,70,149,57,17,70,52,67,77,82,36,15,83,81,87,104,64,52,16,26,57,74,92,72,65,64,33,44,88,64,153,124,14,40,81,64,101,93,11,22,55,62,86,151,84,27,7,50,56,58,55,94,13,14,66,114,119,28,12,11,17,62,80,67,56,12,46,18,77,107,92,80,86,21,17,57,100,74,90,77,53,17,46,113,27,54,44,31,20,175,33,32,26,22,11,5,13,30,25,24,19,14,9,27,57,18,29,30,6,15,27,47,31,12,24,17,3,26,21,17,12,8,1,4,18,9,7,18,19,4,1,20,13,26,7,20,1,0,10,6,9,3,9,1,1,16,36,25,33,51,10,0
"06",785153,"COLIMA",0,0,1,1,1,0,2,4,4,0,0,0,1,2,1,1,1,4,0,3,1,5,7,3,1,0,0,2,6,1,1,1,0,2,1,1,4,3,0,0,3,2,4,3,3,6,0,3,9,2,6,12,5,0,4,7,7,6,3,2,0,2,7,8,1,6,3,0,5,3,2,7,3,3,0,0,3,9,2,4,2,2,1,3,3,12,14,20,7,4,32,19,16,26,23,8,5,28,33,22,19,7,12,5,17,24,25,17,21,11,10,38,16,13,15,7,0,4,5,6,4,0,1,2,1,1,2,7,4,4,2,2,1,3,2,0,5,0,5,2,3,9,3,4,1,0,5,2,3,3,2,0,0,4,0,5,0,0,1,4,3,2,3,1,4,2,7,6,6,2,1,4,3,1,4,3,4,4,1,4,7,4,3,6,8,7,1,1,7,5,8,10,7,0,11,4,16,3,3,4,10,13,4,4,6,2,9,5,3,2,15,2,5,5,4,3,9,4,1,1,8,17,4,7,6,3,2,3,2,9,4,3,2,3,2,1,4,4,7,2,5,3,2,5,9,14,12,18,9,7,10,23,14,7,5,12,1,4,6,7,3,5,12,6,3,8,10,8,5,6,6,4,4,8,11,9,5,2,9,5,8,5,2,4,4,1,6,8,7,4,3,5,4,2,5,3,5,4,0,6,4,3,6,1,5,1,1,4,17,5,4,4,0,8,7,1,3,3,0,0,0,4,4,6,3,5,1,2,2,2,3,2,3,0,1,3,2,2,3,1,0,0,3,1,1,1,3,3,0,1,6,4,1,2,0,1,2,3,3,7,0,2,2,5,2,0,1,0,0,1,3,6,3,3,3,2,2,3,7,5,16,17,2,2,24,9,14,5,13,0,24,9,6,6,2,4,4,0,4,6,2,3,0,0,3,0,3,1,2,0,0,2,0,3,1,0,1,1,0,0,1,2,0,1,1,0,0,1,2,0,0,0,1,3,3,0,4,3,0,0,3,0,3,2,1,0,2,2,1,0,3,2,7,0
"10",1868996,"DURANGO",0,0,0,0,0,0,2,1,1,1,5,1,0,1,5,0,6,5,0,0,5,6,4,10,5,0,0,4,4,3,6,5,0,1,0,6,12,4,7,0,0,9,8,7,7,3,0,0,8,9,3,9,5,1,1,5,5,5,2,5,0,0,6,12,1,2,3,0,0,6,5,0,4,5,0,0,1,1,5,7,4,0,0,3,2,1,7,11,1,1,27,8,20,5,5,1,0,11,5,8,0,2,0,1,9,6,6,3,9,0,1,4,13,8,6,11,3,3,5,12,3,5,1,1,0,1,4,1,5,4,0,0,2,5,7,7,3,2,0,9,5,2,5,3,3,3,2,4,8,5,12,2,5,4,5,13,12,3,1,3,13,5,10,11,4,3,3,16,10,7,5,1,2,0,7,4,33,86,94,23,76,4,9,7,4,6,2,1,6,9,11,14,8,3,3,9,5,11,14,3,4,3,9,12,15,10,11,1,3,23,23,26,7,15,4,1,4,9,5,12,14,2,0,7,15,6,7,15,3,17,11,6,9,12,13,1,1,8,8,5,3,12,1,2,14,17,11,22,17,2,3,14,10,15,13,15,1,1,11,2,0,16,9,3,2,13,18,8,9,10,2,2,16,13,4,5,7,3,2,14,16,12,12,12,3,1,18,15,18,14,9,3,2,23,17,34,24,42,41,4,22,13,38,19,25,1,4,19,19,34,23,63,8,5,73,38,36,34,37,10,3,5,17,22,16,49,2,1,36,31,68,15,15,3,6,35,16,16,38,40,0,0,29,31,10,16,5,3,2,14,9,12,21,42,0,0,17,26,20,27,0,2,2,11,26,21,11,0,2,2,10,20,17,18,19,3,1,7,16,19,13,5,2,6,58,42,32,23,15,2,3,12,15,84,8,4,0,4,1,14,8,8,4,0,5,5,9,5,10,3,1,5,11,10,3,3,4,1,7,8,15,2,2,4,0,3,3,8,3,3,3,2,2,2,2,7,6,7,4,2,6,6,6,12,4,2,1,5,4,6,4,11,1,0
