cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,2,1,1,1,4,0,0,0,2,1,0,4,1,1,4,3,3,2,2,2,3,4,4,2,5,4,2,4,6,3,7,2,3,3,5,4,6,5,4,4,1,2,6,5,10,4,1,4,2,2,4,4,8,4,2,6,6,3,2,5,4,3,5,3,3,2,3,2,5,2,2,8,10,5,4,3,3,3,3,4,3,2,2,6,2,6,7,5,5,3,5,5,5,6,8,6,4,5,4,5,6,3,2,16,7,5,11,6,4,5,10,6,13,6,8,12,7,8,9,7,2,6,6,4,9,5,7,7,8,5,8,12,6,4,7,5,3,8,9,7,5,11,1,3,8,9,5,2,7,4,6,3,8,8,3,6,3,13,5,11,11,11,11,7,10,7,3,4,5,9,7,7,6,15,13,6,11,19,12,11,10,10,13,19,11,20,23,10,11,11,8,12,20,11,11,14,12,15,8,7,18,18,24,17,11,11,23,15,10,17,8,11,11,11,15,13,4,9,8,10,6,11,13,11,4,5,11,10,8,10,10,11,7,4,5,9,5,7,8,8,6,6,10,16,10,8,9,12,12,15,6,15,14,10,12,11,11,18,14,12,14,14,15,7,21,16,5,17,14,17,9,8,8,16,12,4,8,8,11,8,4,10,10,9,5,8,6,5,6,4,8,8,6,1,4,6,6,7,5,5,2,6,7,3,3,3,6,1,3,1,2,3,5,4,2,1,2,2,0,2,3,2,3,8,2,2,6,3,3,4,3,4,3,3,3,5,2,9,6,5,6,5,9,3,3,1,2,5,3,4,2,3,1,5,4,1,0,4,1,1,2,3,0,0,4,1,1,0,2,0,1,1,2,0,1,4,1,1,2,0,0,0,1,0,1,2,2,4,1,0,1,1,0,0,1,1,2,1,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,2,0,1,2,1,0,0,1,2,2,0,0,4,0,2,0,2,5,3,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,8,1,12,5,7,7,11,15,20,15,20,23,18,30,20,32,28,27,35,32,35,34,28,44,45,45,35,34,37,28,43,47,40,34,39,41,34,36,31,42,41,31,35,44,52,34,41,23,28,30,35,42,37,35,40,22,35,33,37,32,32,33,26,40,32,36,24,33,28,34,30,35,25,22,32,25,27,15,25,23,25,27,27,27,24,18,30,32,22,25,29,32,38,45,32,25,23,31,26,25,18,23,9,26,26,19,25,28,20,22,23,16,29,17,24,22,18,25,16,16,18,23,33,16,13,15,20,8,17,23,6,12,23,14,18,29,22,12,11,13,16,13,17,11,13,11,15,9,23,16,18,17,9,14,14,7,21,11,17,9,9,12,7,19,11,12,13,12,13,11,6,11,12,19,10,5,12,11,8,12,6,7,8,7,11,13,4,8,9,9,8,16,7,12,7,12,7,11,11,11,11,9,15,8,18,16,10,14,10,8,15,22,24,9,16,18,15,10,17,13,16,14,14,17,12,14,12,14,18,29,24,22,29,28,25,21,37,29,24,32,38,38,29,36,41,35,40,27,48,43,46,40,35,41,43,56,40,53,66,56,53,61,56,54,55,57,60,50,58,62,48,47,67,40,42,48,56,64,51,47,43,48,36,42,47,38,45,37,35,48,40,44,48,33,22,38,34,27,33,19,35,29,22,25,33,23,18,22,22,15,22,22,24,24,18,13,12,12,18,11,13,6,12,8,15,8,10,13,8,5,7,6,8,7,7,4,5,7,7,7,6,3,2,2,6,3,2,10,9,5,4,7,2,3,3,5,1,4,0,9,2,3,4,3,4,5,5,3,3,3,6,6,3,4,4,2,5,4,3,1,5,9,3,2,5,2,4,1,3,1,1,4,3,4,3,3,4,4,5,3,4,7,3,3,2,3,2,3,10,5,4,1,2,2,9,1,2,2,3,4,4,3,2,3,3,1,1,6,1,1,3,5,5,4,1,3,1,2,4,6,3,1,3,3,4,6,3,4,1,3,4,4,0,2,2,0,3,7,6,2,5,5,0,2,3,0,2,1,3,4,5,8,3,6,3,1,5,6,4,4,5,2,6,4,7,5,0,1,3,8,2,2,2
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1,1,2,0,0,1,1,1,0,1,1,2,0,1,1,2,0,1,1,0,0,0,1,1,0,2,0,2,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,3,3,0,0,0,1,0,2,2,2,4,4,1,1,1,1,2,0,1,1,1,1,1,3,0,1,5,1,5,4,1,2,2,0,2,3,3,5,7,6,4,6,2,8,2,3,8,4,5,5,7,5,10,6,8,9,13,4,8,6,6,5,8,3,7,9,8,5,13,7,6,9,7,10,10,12,9,8,8,4,7,8,10,4,4,5,8,4,10,6,11,7,3,4,3,1,9,9,4,1,3,5,3,3,1,10,3,5,3,3,3,4,2,3,2,4,4,5,2,2,0,3,5,4,2,4,4,2,2,0,2,1,4,1,3,3,2,4,0,6,1,4,2,2,4,2,0,2,3,4,2,3,3,3,2,1,2,2,1,6,4,1,4,1,3,3,1,1,2,2,1,5,1,3,4,1,0,3,0,5,4,0,3,5,2,3,3,0,2,3,2,2,7,1,2,2,1,2,6,1,8,3,3,5,3,9,5,4,3,6,3,3,1,10,7,5,8,11,5,4,6,8,9,4,7,12,10,6,6,13,11,7,16,4,10,7,10,5,6,14,5,6,13,8,15,10,9,11,6,7,10,5,5,7,6,7,4,6,5,5,8,6,6,4,9,2,4,3,3,3,8,4,2,0,0,2,2,2,5,3,1,3,1,3,3,4,4,2,2,1,0,5,0,3,3,2,1,1,2,2,0,0,2,4,1,6,4,0,0,3,0,2,1,3,1,3,5,6,0,1,0,3,3,3,2,1,0,5,1,2,3,0,2,2,2,0,2,0,1,0,3,3,3,2,2,1,3,3,6,3,2,1,4,6,0,2,3,2,1,2,1,0,4,1,4,1,2,2,0,0,3,2,6,3,1,5,1,6,5,6,4,6,12,4,6,9,11,10,14,12,16,10,14,17,14,10,16,20,14,15,11,11,17,11,14,9,10,14,12,11,14,13,19,11,20,10,5,11,15,11,10,6,9,6,13,8,2,9,3,2,0,2
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,3,2,1,4,5,3,2,2,2,4,1,1,1,5,3,5,1,4,3,2,1,2,4,3,3,3,3,8,9,3,2,2,6,7,5,6,4,9,5,5,10,4,5,11,9,7,12,19,15,13,10,14,14,16,10,8,14,20,14,18,21,14,14,15,13,14,19,16,13,21,11,17,13,10,13,12,18,14,10,13,6,11,15,15,19,7,9,12,4,8,9,5,9,5,7,9,10,3,7,4,5,1,4,4,5,2,3,4,1,0,2,12,3,4,3,3,3,2,1,1,2,0,1,2,2,1,2,4,1,4,3,1,2,4,2,3,0,1,1,1,2,2,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,2,0,0,1,1,1,3,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,3,2,0,2,1,1,0,0,1,1,1,2,3,0,0,0,1,0,3,1,1,1,0,4,1,0,3,3,1,2,3,4,1,0,3,1,3,2,0,1,2,1,3,2,2,1,2,1,3,0,3,2,0,3,5,5,0,2,1,1,4,2,3,3,2,0,2,0,1,2,1,2,2,0,1,2,0,0,0,3,3,3,3,2,1,2,0,2,2,0,1,1,1,1,2,2,1,1,2,1,0,1,1,1,2,1,1,0,2,1,1,2,3,1,2,0,2,2,1,2,0,0,5,0,1,2,0,0,0,1,0,0,2,0,1,1,3,0,1,0,0,1,3,1,1,0,2,0,1,2,2,1,1,0,1,0,0,1,0,2,0,0,0,0,2,2,0,0,0,2,4,2,0,3,4,0,0,4,3,0,1,2,4,3,4,4,3,4,1,5,4,7,5,4,3,2,1,4,8,3,7,5,3,5,5,7,4,3,2,2,13,4,7,1,5,4,5,3,4,5,2,5,7,5,8,7,4,5,5,1,7,1,7,6,4
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,1,1,4,0,1,3,1,1,3,4,7,5,5,5,3,2,3,6,5,12,7,2,12,8,11,13,4,12,14,14,15,11,15,27,25,20,24,11,26,29,29,17,16,27,18,15,17,23,16,18,12,19,14,19,21,25,13,17,14,30,11,19,16,8,16,16,20,10,18,13,15,16,15,16,14,18,12,12,12,8,3,13,11,6,3,8,6,4,9,3,9,5,6,10,4,10,6,6,2,2,3,6,4,3,7,6,1,2,2,2,3,4,3,2,1,1,0,3,3,3,0,2,1,0,2,0,2,2,3,0,0,0,1,0,0,3,0,1,1,1,2,0,0,2,0,0,0,0,2,3,1,0,0,0,0,0,0,1,2,3,0,1,0,0,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,3,2,3,3,1,0,0,3,0,1,0,1,0,1,3,1,4,4,4,4,2,3,1,2,10,7,3,3,2,7,3,7,3,3,4,9,11,6,7,4,6,8,4,13,8,7,7,4,4,5,2,6,3,1,2,3,5,0,2,1,2,5,2,3,3,1,1,4,1,2,1,2,0,1,0,2,3,2,3,1,2,2,1,0,1,2,2,1,3,1,0,2,1,2,0,1,0,2,3,2,0,2,3,0,1,1,2,0,1,2,1,1,2,1,1,1,6,1,2,1,2,0,1,0,1,0,1,1,1,0,2,1,0,2,0,0,0,0,0,0,1,5,3,1,1,1,2,1,0,0,0,1,3,1,0,1,2,1,1,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,1,5,0,1,2,0,0,0,2,0,3,2,1,1,2,3,3,2,0,0,0,2,4,3,1,3,3,0,3,2,1,3,5,4,6,5,6,0,5,4,8,9,7,13,10,12,8,6,4,2,3
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,2,9,6,5,3,2,6,5,7,11,6,14,12,10,19,26,14,13,26,17,19,17,20,22,19,30,20,18,24,18,16,27,17,24,26,19,18,21,22,18,15,15,19,26,11,7,13,14,7,12,16,8,13,11,11,6,14,12,11,8,12,16,15,18,10,9,16,10,9,14,10,11,12,8,8,6,7,11,7,7,8,10,5,8,8,8,11,8,11,6,6,14,14,9,14,12,15,12,14,9,5,7,7,7,14,12,8,16,8,9,7,10,10,17,14,13,7,7,7,11,15,12,12,11,8,15,7,10,11,5,7,7,6,9,4,9,9,10,9,6,12,8,11,12,12,6,7,13,7,4,8,14,5,11,6,4,8,13,8,10,8,9,8,6,16,9,6,16,18,13,6,13,11,7,8,11,14,9,17,16,16,7,12,19,24,19,11,22,24,39,33,42,28,38,48,47,54,50,49,45,49,69,78,60,61,76,83,70,71,68,82,92,63,76,99,83,77,75,70,67,65,65,52,64,63,79,53,46,53,56,56,35,49,35,39,44,33,38,28,37,37,27,30,29,20,27,12,22,21,23,14,19,25,24,17,15,11,22,18,16,9,14,15,21,24,14,22,11,19,8,17,11,14,19,19,16,9,20,14,17,19,13,23,22,17,11,11,18,20,8,13,5,13,11,20,11,17,13,14,12,12,9,17,16,11,12,15,8,15,7,8,9,14,8,9,6,8,17,12,2,4,13,11,9,8,11,15,9,9,13,8,8,16,13,8,8,8,16,10,7,11,12,11,7,12,8,12,7,9,6,12,10,2,16,6,6,13,13,16,8,11,17,15,22,13,16,14,21,17,12,16,13,18,13,22,20,18,19,19,10,12,18,12,14,10,14,15,16,16,10,8,20,11,12,11,13,14,5,7,7,10,11,7,8,7,6,6,4,9,4,5,5,9,7,8,4,2,5,7,3,5,4,2,5,6,4,5,4,6,5,2,4,4,1,4,3,4,1,6,6,2,1,3,2,2,2,3,0,1,1,3,0,4,3,1,0,2,1,1,1,2,0,1,3,3,0,3,3,0,2,1,3,3,3,2,3,2,2,2,2,1,1,4,1,1,2,3,2,1,4,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,1,1,0,1,3,4,2,2,4,7,6,6,7,7,6,16,11,6,17,27,24,13,18,26,27,28,24,31,43,44,54,42,62,67,83,85,71,73,116,110,117,83,108,110,120,123,110,121,109,133,125,142,128,150,144,150,159,161,140,126,171,132,136,144,142,137,124,137,121,120,138,129,123,127,123,113,124,114,133,110,119,120,128,128,113,85,124,113,100,98,73,99,75,73,60,64,73,89,67,58,72,83,63,66,77,66,80,79,51,66,48,61,70,57,72,72,58,56,65,59,54,56,43,54,46,61,53,53,49,35,60,48,47,55,56,55,61,43,53,64,35,47,42,45,46,45,44,42,45,47,44,50,41,44,51,45,56,44,37,50,51,45,46,61,51,46,51,48,49,45,41,49,49,53,52,47,47,57,39,43,45,41,35,38,48,54,45,44,47,54,40,56,43,39,52,47,46,61,48,33,44,44,50,42,49,43,47,33,42,44,51,56,46,57,42,53,40,49,49,42,61,43,44,49,57,53,42,66,58,54,54,57,55,60,52,77,69,69,63,76,65,74,71,79,70,79,91,72,85,77,87,81,68,97,117,91,77,96,82,89,126,111,114,126,119,127,118,133,144,139,146,142,151,154,148,158,158,159,140,181,188,175,181,187,167,174,201,210,202,182,204,176,195,192,213,233,203,199,207,214,199,221,220,251,238,210,213,214,231,250,264,202,195,193,208,206,209,183,183,149,153,150,157,156,156,133,117,132,141,141,111,148,131,105,106,101,123,125,94,113,104,102,93,105,96,99,90,100,105,86,81,102,86,86,104,68,86,92,66,65,65,45,84,57,58,65,72,72,56,41,56,62,58,47,39,45,46,57,42,37,35,45,42,36,26,38,45,41,35,35,29,37,31,30,23,33,34,26,21,23,29,20,30,22,17,21,17,20,10,17,13,15,11,18,20,6,13,7,17,10,8,9,15,7,8,8,9,7,9,9,5,8,5,5,4,6,6,3,5,6,5,5,4,12,5,3,9,6,3,9,6,11,9,6,3,5,9,9,9,5,4,9,13,6,8,14,19,9,11,23,21,19,22,13,20,29,21,30,22,29,30,24,29,34,33,41,43,38,35,36,49,42,46,50,59,41,61,61,72,55,63,51,54,39,50,16
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,2,2,1,2,1,4,0,1,1,1,0,1,5,1,4,1,0,2,4,2,3,2,2,2,3,0,2,0,0,1,1,2,4,1,3,1,1,1,2,3,0,0,1,3,4,2,0,0,1,1,1,2,6,2,3,0,3,6,2,1,2,2,5,3,6,4,8,7,4,6,9,4,5,8,6,8,12,3,6,5,15,8,6,14,8,13,11,10,22,18,16,13,23,21,11,16,20,17,19,13,17,15,21,26,29,26,20,19,22,25,30,23,24,16,23,16,20,28,19,36,20,35,23,28,28,26,23,30,21,20,31,22,36,20,20,21,27,23,28,17,15,24,18,14,19,15,20,16,30,15,17,29,20,21,15,18,16,13,20,16,18,14,24,19,12,20,12,10,15,7,18,14,10,19,10,13,18,10,12,16,8,10,12,7,21,7,10,10,9,12,13,12,12,18,10,19,19,15,21,17,18,22,21,22,26,25,32,35,35,21,27,30,23,29,38,25,39,47,31,25,34,53,42,27,45,46,37,31,33,38,32,33,45,38,42,36,40,32,23,44,47,45,34,32,27,31,23,24,36,23,32,35,40,32,21,27,31,18,30,25,31,19,21,33,35,24,25,33,23,27,27,22,22,27,39,35,32,34,26,32,21,32,37,38,41,30,24,54,30,35,35,58,38,45,29,44,32,33,52,40,24,24,32,30,17,27,31,18,25,22,30,11,14,21,18,23,17,9,17,13,16,12,9,12,5,11,16,8,10,9,8,11,9,11,4,4,9,4,8,10,4,8,4,7,5,5,3,6,7,7,3,6,4,3,4,6,1,2,2,3,3,2,5,3,2,4,3,2,5,3,2,1,3,0,0,2,3,3,4,1,2,0,1,3,3,0,5,1,0,0,0,1,5,1,1,4,2,1,0,1,1,2,3,2,1,2,2,1,1,0,1,0,2,1,1,0,1,3,3,0,2,0,1,1,2,1,2,0,1,1,0,1,1,0,0,4,0,1,0,0,1,1,2,0,3,0,0,1,4,0,1,4,1,0,1,2,2,3,2,0,0,1,0,1,1,0,1,1,2,3,1,0,2,2,1,1,2,1,2,2,3,5,7,4,5,4,3,7,7,5,7,1,6,0,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,3,1,0,1,0,1,2,2,0,0,2,1,1,1,1,1,2,2,1,3,4,3,2,4,1,5,1,3,2,1,3,3,1,0,2,3,3,0,3,4,4,11,6,7,4,6,4,7,3,3,5,7,8,1,10,3,4,7,4,4,7,7,10,4,10,5,8,8,4,8,10,9,9,3,7,6,5,4,10,3,5,7,9,9,7,7,11,6,7,5,7,2,7,11,4,1,8,4,6,3,7,5,5,5,6,4,8,4,5,4,2,6,4,6,7,4,7,2,4,2,3,8,7,3,5,10,6,4,8,3,4,4,5,6,9,3,2,7,7,7,6,4,4,2,5,3,7,4,4,1,2,2,3,0,2,4,4,2,5,2,2,2,2,1,3,2,2,2,1,2,0,0,2,1,2,2,1,2,1,4,2,2,0,1,1,0,1,0,3,1,1,2,2,1,1,1,4,3,2,0,0,0,0,3,1,0,1,3,1,4,1,1,2,0,0,4,3,2,6,3,4,2,6,4,1,2,4,5,3,4,3,5,5,11,3,5,6,3,6,4,7,5,6,6,6,2,4,5,6,9,6,7,7,4,2,6,6,8,4,6,6,4,2,12,5,0,5,5,9,7,1,3,4,5,2,4,0,3,3,2,2,1,7,3,2,3,1,2,1,2,0,0,4,2,3,1,0,0,3,1,1,1,2,0,0,0,1,2,1,1,0,1,0,1,0,1,2,2,0,0,1,0,3,2,1,0,0,0,2,2,0,2,1,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,1,1,0,2,1,0,0,1,0,1,3,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,2,1,1,2,1,3,0,0,0,1,0,1,0,0,2,0,0,2,2,0,0,0,1,1,0,3,3,2,4,3,2,1,2,4,1,2,3,2,8,3,5,3,7,5,2,6,9,6
"10",1868996,"DURANGO",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,1,0,0,0,2,1,0,0,0,1,3,3,2,1,0,0,5,1,0,0,3,3,2,3,4,3,0,3,1,4,1,2,4,4,2,3,2,6,4,7,4,6,6,6,9,2,4,1,3,3,4,5,5,6,2,7,2,2,7,5,2,3,4,4,8,7,7,3,10,7,4,9,4,8,6,7,3,10,3,4,8,1,9,5,4,1,4,8,11,4,4,6,9,9,4,7,7,9,4,6,2,6,6,4,3,2,5,12,4,3,7,5,4,9,5,8,12,9,5,6,6,7,9,5,7,5,4,9,8,4,8,6,6,8,4,13,4,3,5,3,3,3,5,5,8,7,6,4,2,5,7,6,9,3,4,2,10,5,3,4,7,10,5,6,10,7,3,13,7,11,17,7,12,14,11,17,19,18,16,20,16,12,15,16,12,18,16,21,14,13,16,19,11,9,19,24,9,12,15,14,12,19,12,17,19,20,24,18,14,16,16,18,11,22,15,17,12,20,11,4,7,10,17,8,8,8,10,8,10,8,8,6,11,9,7,10,11,1,5,9,14,13,8,8,13,7,10,5,5,14,9,8,9,12,9,12,6,13,15,12,11,7,9,10,12,6,8,11,15,9,11,8,11,4,4,11,10,7,2,10,11,8,7,7,7,3,5,4,5,3,7,3,5,11,6,1,5,5,5,4,3,3,6,3,4,6,2,2,3,1,1,3,6,4,5,1,2,3,10,3,3,2,6,2,2,1,4,3,3,8,5,2,1,4,4,2,3,7,2,5,4,2,2,1,4,1,1,5,3,4,4,1,3,0,2,3,1,1,3,0,1,0,1,1,3,5,5,0,0,0,1,4,2,0,5,2,2,3,0,3,0,1,1,0,0,0,0,0,0,1,3,0,1,4,3,0,1,0,0,2,1,1,0,2,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,1,0,0,1,2,2,2,0,0,0,0,0,1,3,4,1,1,1,2,3,3,1,1,2,2,6,2,3,1,5,3,0,3,0
