municipio,fecha,casos_acumulados,muertes_acumuladas,casos_nuevos,muertes_nuevas,clave
"Aguascalientes, Aguascalientes",2020-04-12,45,1,NA,NA,01_001
"Aguascalientes, Aguascalientes",2020-04-13,45,1,0,0,01_001
"Aguascalientes, Aguascalientes",2020-04-14,54,1,9,0,01_001
"Aguascalientes, Aguascalientes",2020-04-15,54,1,0,0,01_001
"Aguascalientes, Aguascalientes",2020-04-16,60,2,6,1,01_001
"Aguascalientes, Aguascalientes",2020-04-17,66,2,6,0,01_001
"Aguascalientes, Aguascalientes",2020-04-18,66,2,0,0,01_001
"Aguascalientes, Aguascalientes",2020-04-19,69,2,3,0,01_001
"Aguascalientes, Aguascalientes",2020-04-20,69,2,0,0,01_001
"Aguascalientes, Aguascalientes",2020-04-21,69,2,0,0,01_001
"Aguascalientes, Aguascalientes",2020-04-22,86,2,17,0,01_001
"Aguascalientes, Aguascalientes",2020-04-23,91,2,5,0,01_001
"Aguascalientes, Aguascalientes",2020-04-24,126,2,35,0,01_001
"Aguascalientes, Aguascalientes",2020-04-25,127,2,1,0,01_001
"Aguascalientes, Aguascalientes",2020-04-26,128,2,1,0,01_001
"Aguascalientes, Aguascalientes",2020-04-27,139,2,11,0,01_001
"Aguascalientes, Aguascalientes",2020-04-28,143,2,4,0,01_001
"Aguascalientes, Aguascalientes",2020-04-29,155,2,12,0,01_001
"Aguascalientes, Aguascalientes",2020-04-30,167,6,12,4,01_001
"Aguascalientes, Aguascalientes",2020-05-01,183,7,16,1,01_001
"Aguascalientes, Aguascalientes",2020-05-02,211,7,28,0,01_001
"Asientos, Aguascalientes",2020-04-12,1,0,NA,NA,01_002
"Asientos, Aguascalientes",2020-04-13,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-14,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-15,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-16,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-17,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-18,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-19,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-20,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-21,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-22,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-23,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-24,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-25,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-26,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-27,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-28,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-29,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-04-30,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-05-01,1,0,0,0,01_002
"Asientos, Aguascalientes",2020-05-02,1,0,0,0,01_002
"Calvillo, Aguascalientes",2020-04-28,2,0,NA,NA,01_003
"Calvillo, Aguascalientes",2020-04-29,5,0,3,0,01_003
"Calvillo, Aguascalientes",2020-04-30,8,0,3,0,01_003
"Calvillo, Aguascalientes",2020-05-01,8,0,0,0,01_003
"Calvillo, Aguascalientes",2020-05-02,8,0,0,0,01_003
"Jesús María, Aguascalientes",2020-04-12,1,0,NA,NA,01_005
"Jesús María, Aguascalientes",2020-04-13,1,0,0,0,01_005
"Jesús María, Aguascalientes",2020-04-14,1,0,0,0,01_005
"Jesús María, Aguascalientes",2020-04-15,1,0,0,0,01_005
"Jesús María, Aguascalientes",2020-04-16,1,0,0,0,01_005
"Jesús María, Aguascalientes",2020-04-17,1,0,0,0,01_005
