fecha,sintomas_nuevos,ingreso_nuevos,muertes_nuevas,sintomas_acumulados,ingreso_acumulados,muertes_acumuladas
2020-01-08,1,1,0,1,1,0
2020-01-09,0,0,0,1,1,0
2020-01-10,0,0,0,1,1,0
2020-01-11,0,0,0,1,1,0
2020-01-12,0,0,0,1,1,0
2020-01-13,0,0,0,1,1,0
2020-01-14,1,1,0,2,2,0
2020-01-15,1,0,0,3,2,0
2020-01-16,0,0,0,3,2,0
2020-01-17,1,0,0,4,2,0
2020-01-18,0,0,0,4,2,0
2020-01-19,0,0,0,4,2,0
2020-01-20,0,0,0,4,2,0
2020-01-21,0,0,0,4,2,0
2020-01-22,0,0,0,4,2,0
2020-01-23,0,0,0,4,2,0
2020-01-24,0,0,0,4,2,0
2020-01-25,0,0,0,4,2,0
2020-01-26,0,0,0,4,2,0
2020-01-27,0,0,0,4,2,0
2020-01-28,0,0,0,4,2,0
2020-01-29,0,0,0,4,2,0
2020-01-30,0,0,0,4,2,0
2020-01-31,0,0,0,4,2,0
2020-02-01,0,0,0,4,2,0
2020-02-02,0,0,0,4,2,0
2020-02-03,0,0,0,4,2,0
2020-02-04,0,0,0,4,2,0
2020-02-05,0,0,0,4,2,0
2020-02-06,1,0,0,5,2,0
2020-02-07,1,1,0,6,3,0
2020-02-08,0,0,0,6,3,0
2020-02-09,0,0,0,6,3,0
2020-02-10,0,0,0,6,3,0
2020-02-11,0,0,0,6,3,0
2020-02-12,0,0,0,6,3,0
2020-02-13,0,0,0,6,3,0
2020-02-14,0,0,0,6,3,0
2020-02-15,0,0,0,6,3,0
2020-02-16,0,0,0,6,3,0
2020-02-17,1,0,0,7,3,0
2020-02-18,1,1,0,8,4,0
2020-02-19,1,0,0,9,4,0
2020-02-20,0,0,0,9,4,0
2020-02-21,1,0,0,10,4,0
2020-02-22,2,0,0,12,4,0
2020-02-23,2,0,0,14,4,0
2020-02-24,0,0,0,14,4,0
2020-02-25,2,0,0,16,4,0
2020-02-26,1,0,0,17,4,0
2020-02-27,2,4,0,19,8,0
2020-02-28,2,2,0,21,10,0
2020-02-29,2,1,0,23,11,0
2020-03-01,6,0,0,29,11,0
2020-03-02,8,2,0,37,13,0
2020-03-03,6,0,0,43,13,0
2020-03-04,7,2,0,50,15,0
2020-03-05,7,1,0,57,16,0
2020-03-06,9,0,0,66,16,0
2020-03-07,19,0,0,85,16,0
2020-03-08,21,4,0,106,20,0
2020-03-09,62,2,0,168,22,0
2020-03-10,50,9,0,218,31,0
2020-03-11,51,27,0,269,58,0
2020-03-12,58,28,0,327,86,0
2020-03-13,86,60,0,413,146,0
2020-03-14,92,49,0,505,195,0
2020-03-15,98,36,0,603,231,0
2020-03-16,131,68,0,734,299,0
2020-03-17,106,89,0,840,388,0
2020-03-18,122,97,2,962,485,2
2020-03-19,105,105,0,1067,590,2
2020-03-20,176,98,1,1243,688,3
2020-03-21,124,66,0,1367,754,3
2020-03-22,133,47,1,1500,801,4
2020-03-23,209,129,1,1709,930,5
2020-03-24,172,163,2,1881,1093,7
2020-03-25,191,134,2,2072,1227,9
2020-03-26,239,164,8,2311,1391,17
2020-03-27,269,205,6,2580,1596,23
2020-03-28,258,147,13,2838,1743,36
2020-03-29,249,140,8,3087,1883,44
2020-03-30,358,295,11,3445,2178,55
2020-03-31,297,267,21,3742,2445,76
2020-04-01,414,306,18,4156,2751,94
2020-04-02,403,277,25,4559,3028,119
2020-04-03,423,325,31,4982,3353,150
2020-04-04,428,204,29,5410,3557,179
2020-04-05,395,210,25,5805,3767,204
2020-04-06,537,509,52,6342,4276,256
2020-04-07,469,429,52,6811,4705,308
2020-04-08,573,495,45,7384,5200,353
2020-04-09,565,389,47,7949,5589,400
2020-04-10,888,448,56,8837,6037,456
2020-04-11,653,373,61,9490,6410,517
2020-04-12,712,410,59,10202,6820,576
2020-04-13,876,772,65,11078,7592,641
2020-04-14,813,763,74,11891,8355,715
2020-04-15,960,805,80,12851,9160,795
2020-04-16,942,833,63,13793,9993,858
2020-04-17,1028,970,77,14821,10963,935
2020-04-18,1112,661,82,15933,11624,1017
2020-04-19,1006,610,96,16939,12234,1113
2020-04-20,1558,1242,103,18497,13476,1216
2020-04-21,995,1208,103,19492,14684,1319
2020-04-22,993,1126,110,20485,15810,1429
2020-04-23,1027,1202,104,21512,17012,1533
2020-04-24,1160,1382,127,22672,18394,1660
2020-04-25,1059,827,130,23731,19221,1790
2020-04-26,883,764,122,24614,19985,1912
2020-04-27,944,1467,116,25558,21452,2028
2020-04-28,658,1417,103,26216,22869,2131
2020-04-29,489,1298,117,26705,24167,2248
2020-04-30,400,1182,93,27105,25349,2341
2020-05-01,271,669,92,27376,26018,2433
2020-05-02,139,606,97,27515,26624,2530
2020-05-03,71,458,70,27586,27082,2600
2020-05-04,39,488,62,27625,27570,2662
2020-05-05,9,60,37,27634,27630,2699
2020-05-06,0,4,5,27634,27634,2704
