fecha	IRAG_GEN_Ocupadas	IRAG_GEN_Disponibles	IRAG_GEN_Total	IRAG_VENT_Ocupadas	IRAG_VENT_Disponibles	IRAG_VENT_Total	estado
2020-04-07	3	14	17	1	21	22	Aguascalientes
2020-04-08	4	14	18	1	21	22	Aguascalientes
2020-04-09	1	67	68	1	23	24	Aguascalientes
2020-04-10	1	164	165	2	35	37	Aguascalientes
2020-04-11	2	68	70	2	32	34	Aguascalientes
2020-04-12	3	68	71	2	31	33	Aguascalientes
2020-04-13	4	68	72	3	31	34	Aguascalientes
2020-04-14	2	43	45	3	37	40	Aguascalientes
2020-04-15	1	102	103	3	96	99	Aguascalientes
2020-04-16	2	102	104	4	96	100	Aguascalientes
2020-04-17	2	102	104	3	76	79	Aguascalientes
2020-04-18	5	102	107	2	88	90	Aguascalientes
2020-04-19	7	102	109	3	88	91	Aguascalientes
2020-04-20	5	104	109	3	124	127	Aguascalientes
2020-04-21	6	104	110	3	190	193	Aguascalientes
2020-04-22	7	104	111	4	99	103	Aguascalientes
2020-04-23	8	104	112	3	99	102	Aguascalientes
2020-04-24	8	104	112	4	99	103	Aguascalientes
2020-04-25	8	104	112	5	101	106	Aguascalientes
2020-04-26	6	120	126	5	97	102	Aguascalientes
2020-04-27	9	120	129	7	97	104	Aguascalientes
2020-04-28	10	120	130	5	63	68	Aguascalientes
2020-04-29	13	120	133	6	58	64	Aguascalientes
2020-04-30	14	120	134	5	57	62	Aguascalientes
2020-05-01	12	120	132	6	55	61	Aguascalientes
2020-05-02	11	120	131	6	57	63	Aguascalientes
2020-05-03	11	120	131	6	60	66	Aguascalientes
2020-05-04	11	120	131	6	52	58	Aguascalientes
2020-05-05	11	120	131	6	55	61	Aguascalientes
2020-05-06	12	120	132	5	61	66	Aguascalientes
2020-05-07	10	120	130	4	59	63	Aguascalientes
2020-05-08	17	120	137	4	52	56	Aguascalientes
2020-05-09	18	120	138	5	55	60	Aguascalientes
2020-05-10	24	120	144	4	53	57	Aguascalientes
2020-05-11	17	120	137	4	48	52	Aguascalientes
2020-05-12	19	120	139	4	49	53	Aguascalientes
2020-05-13	16	120	136	6	53	59	Aguascalientes
2020-05-14	19	120	139	5	52	57	Aguascalientes
2020-05-15	21	120	141	5	54	59	Aguascalientes
2020-05-16	24	120	144	6	49	55	Aguascalientes
2020-05-17	24	120	144	6	54	60	Aguascalientes
2020-05-18	27	120	147	8	52	60	Aguascalientes
2020-05-19	24	120	144	8	47	55	Aguascalientes
2020-05-20	28	120	148	8	44	52	Aguascalientes
2020-05-21	30	120	150	9	52	61	Aguascalientes
2020-05-22	30	226	256	9	54	63	Aguascalientes
2020-05-23	36	251	287	12	55	67	Aguascalientes
2020-05-24	37	232	269	10	55	65	Aguascalientes
2020-05-25	41	232	273	9	58	67	Aguascalientes
2020-05-26	38	254	292	10	73	83	Aguascalientes
2020-05-27	60	301	361	19	117	136	Aguascalientes
2020-05-28	51	306	357	21	113	134	Aguascalientes
2020-05-29	41	314	355	21	111	132	Aguascalientes
