estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo,covid19_nuevos,covid19_acum_M,covid19_acum_F
Aguascalientes,0,2,1,6,96,623,727,1942,15,33,32,145,9357,44600,56962,127463,23,216,223,513,15,10,9
Baja California,100,624,317,426,263,1821,2410,5388,31,157,231,1488,15617,85560,107240,185545,153,1361,1338,2564,12,11,9
Baja California Sur,6,90,19,187,234,1471,1927,3612,1,19,8,64,6684,33051,39648,65692,25,90,106,184,8,7,2
Campeche,9,35,26,43,75,515,616,1273,1,4,11,21,4948,21731,27281,50344,7,37,42,127,3,2,1
Coahuila,3,45,35,129,358,2327,3021,6861,494,4170,4441,10095,16212,98218,119296,228364,109,837,812,1384,12,9,6
Colima,6,59,26,34,144,740,878,2352,163,616,729,806,4563,23667,27760,49526,11,68,64,234,0,1,1
Chiapas,23,156,101,335,409,2718,3389,6048,207,485,716,1576,13277,67042,84004,147015,66,281,303,594,4,4,2
Chihuahua,52,392,361,335,551,3221,4051,9986,593,2692,3344,4856,19998,102235,135472,286238,214,1378,1637,3780,4,2,4
Ciudad de México,9,68,44,86,816,4727,6064,12546,109,355,437,490,56837,227362,310277,612045,304,1961,1981,5589,147,122,55
Durango,1,18,16,34,202,1280,1744,3504,0,0,0,0,10189,58128,75248,144735,18,168,151,489,3,5,2
Guanajuato,3,14,16,64,592,3137,4557,8262,15,240,258,201,27314,138175,173563,339894,109,722,799,2423,33,16,21
Guerrero,77,438,557,1122,278,1460,2315,3769,577,2741,3880,5579,13585,64128,88980,144579,21,176,208,449,6,5,5
Hidalgo,56,328,614,432,366,1662,2786,5013,4,11,7,2,24831,82181,111490,206301,41,323,324,843,9,4,8
Jalisco,12,161,112,267,556,3902,4681,10334,213,1326,1370,2271,28137,165884,203705,366790,329,3098,3155,7085,52,46,36
México,67,444,512,693,824,4267,6162,12632,490,1937,2259,3696,77209,308625,410814,812651,156,1327,1192,4102,73,45,40
Michoacán,2,63,40,50,325,2279,3126,4503,53,318,439,782,19326,96027,125541,193102,23,229,240,625,17,7,10
Morelos,12,122,141,345,200,1171,1627,2113,33,129,118,178,9205,44720,56811,105484,17,121,137,217,2,1,3
Nayarit,40,128,134,51,282,1910,2329,4072,0,0,0,0,7610,36402,46029,86947,8,124,164,435,4,2,3
Nuevo León,23,134,87,294,774,5126,6471,16583,14,78,89,198,27963,175907,211883,472059,142,907,900,2248,35,46,18
Oaxaca,72,132,109,120,581,3018,3981,6995,587,1996,2623,3983,19997,81418,102640,175893,33,302,306,857,12,4,8
Puebla,0,23,23,114,466,2325,3022,6569,8,58,91,587,34583,132931,169848,349466,82,400,400,1254,39,28,24
Querétaro,0,6,5,30,179,1013,1542,2947,1,7,9,28,14241,66380,84704,153775,52,333,282,751,15,13,12
Quintana Roo,22,206,122,89,235,1881,2029,4085,0,2,4,5,11569,43477,49784,86207,15,97,114,290,22,20,13
San Luis Potosí,34,181,199,70,497,3121,3971,8605,111,98,159,194,16838,86860,109282,214816,69,625,679,1526,12,11,9
Sinaloa,48,389,255,180,481,2854,3540,7360,4,70,81,196,21666,106562,135538,226924,163,888,873,1303,11,7,7
Sonora,12,112,51,254,284,1640,1958,4562,405,2519,2837,4392,14010,85248,108229,207712,124,910,854,3121,8,6,4
Tabasco,36,196,202,276,251,1409,1972,3418,484,1294,1531,1157,14296,48275,64205,101983,15,150,158,235,23,11,16
Tamaulipas,70,360,196,436,1074,6612,7870,16155,1145,5782,6543,11122,22620,130369,155644,306009,109,797,805,1937,3,3,3
Tlaxcala,3,37,33,20,179,1048,1421,2677,4,42,57,38,9632,42966,55424,111311,17,139,117,502,4,3,1
Veracruz,162,810,783,473,956,3948,5367,9984,207,912,1190,3334,38121,144156,191620,353224,71,446,516,1235,16,12,11
Yucatán,14,88,100,55,79,515,674,916,14,26,32,6,12604,55000,68465,123151,38,207,203,399,25,21,17
Zacatecas,1,25,36,32,697,3579,5010,9657,364,1314,1819,2370,18343,88962,111167,203790,105,498,503,1358,3,3,1
