estado,tub_nuevos,tub_acum_M,tub_acum_F,tub_acum_previo,ot_nuevos,ot_acum_M,ot_acum_F,ot_acum_previo,far_nuevos,far_acum_M,far_acum_F,far_acum_previo,IRA_nuevos,IRA_acum_M,IRA_acum_F,IRA_acum_previo,neum_nuevos,neum_acum_M,neum_acum_F,neum_acum_previo
Aguascalientes,0,0,0,0,95,49,46,154,2,2,0,8,5789,2496,3293,9777,32,15,17,46
Baja California,20,12,8,10,269,123,146,312,45,19,26,105,13865,6026,7839,13242,225,109,116,162
Baja California Sur,3,2,1,3,159,58,101,237,2,2,0,1,3809,1717,2092,4081,18,8,10,16
Campeche,2,1,1,5,75,34,41,85,1,1,0,4,3278,1471,1807,3872,8,5,3,11
Coahuila,2,1,1,4,530,243,287,444,487,210,277,586,14781,6459,8322,16766,168,90,78,103
Colima,0,0,0,1,98,48,50,109,24,11,13,24,3064,1460,1604,3384,11,9,2,17
Chiapas,8,5,3,3,447,198,249,410,59,22,37,48,8851,4192,4659,9020,54,27,27,27
Chihuahua,11,6,5,7,475,208,267,857,559,231,328,375,15710,6631,9079,22847,231,97,134,519
Ciudad de México,4,4,0,3,876,400,476,885,72,25,47,39,39523,16658,22865,47812,378,163,215,502
Durango,0,0,0,0,220,114,106,337,36,14,22,0,7961,3534,4427,12071,21,11,10,71
Guanajuato,1,1,0,2,530,229,301,566,33,16,17,5,18180,8103,10077,24322,130,62,68,191
Guerrero,22,10,12,11,157,69,88,179,195,89,106,207,6606,2811,3795,6522,8,5,3,14
Hidalgo,2,1,1,0,284,105,179,238,0,0,0,0,11575,4883,6692,11872,90,49,41,71
Jalisco,11,4,7,1,481,210,271,953,166,81,85,175,22481,9892,12589,32041,554,286,268,841
México,0,0,0,21,524,246,278,884,358,159,199,238,45012,19075,25937,55954,301,158,143,247
Michoacán,2,1,1,1,259,103,156,386,33,16,17,74,12104,5152,6952,15194,32,12,20,38
Morelos,0,0,0,0,99,34,65,102,2,2,0,26,5981,2682,3299,6214,14,4,10,8
Nayarit,5,1,4,0,328,145,183,295,0,0,0,0,4587,2001,2586,6235,23,10,13,26
Nuevo León,10,5,5,8,746,331,415,1100,9,4,5,15,29664,13226,16438,34115,225,109,116,211
Oaxaca,5,5,0,0,486,225,261,427,334,155,179,243,11350,5021,6329,12652,39,22,17,84
Puebla,2,1,1,4,260,107,153,322,8,5,3,16,17475,7520,9955,20225,62,24,38,114
Querétaro,1,1,0,0,218,85,133,209,1,0,1,0,8783,3765,5018,11003,72,45,27,72
Quintana Roo,12,9,3,4,208,98,110,268,0,0,0,2,5298,2501,2797,5653,28,9,19,34
San Luis Potosí,6,4,2,3,412,181,231,558,4,0,4,32,10457,4582,5875,13592,76,29,47,75
Sinaloa,11,5,6,3,392,179,213,586,20,11,9,19,13933,6011,7922,16133,121,60,61,76
Sonora,1,1,0,4,232,112,120,296,391,173,218,308,11131,4764,6367,15396,130,70,60,216
Tabasco,2,2,0,12,196,95,101,148,135,63,72,41,5797,2567,3230,5693,23,9,14,31
Tamaulipas,4,4,0,11,1216,578,638,1067,1055,481,574,638,20027,9245,10782,21441,127,67,60,129
Tlaxcala,6,2,4,0,222,93,129,205,0,0,0,1,7696,3396,4300,8151,37,23,14,45
Veracruz,47,22,25,18,646,300,346,653,248,117,131,337,20647,8910,11737,24380,83,44,39,92
Yucatán,1,1,0,1,83,34,49,68,0,0,0,0,7933,3529,4404,8956,26,16,10,36
Zacatecas,1,1,0,0,555,230,325,703,174,73,101,154,11825,5305,6520,15514,63,33,30,79
