estado,casos_acumulados,muertes_acumuladas
Aguascalientes,19,0
Baja California,20,0
Baja California Sur,9,0
Campeche,3,0
Ciudad de México,177,7
Coahuila,15,0
Colima,2,0
Chiapas,6,0
Chihuahua,6,0
Durango,7,1
Guanajuato,37,0
Guerrero,10,0
Hidalgo,12,1
Jalisco,82,3
México,85,0
Michoacán,17,1
Morelos,4,0
Nayarit,5,0
Nuevo León,64,0
Oaxaca,12,0
Puebla,52,0
Querétaro,25,0
Quintana Roo,33,1
San Luis Potosí,20,2
Sinaloa,14,0
Sonora,10,0
Tabasco,27,0
Tamaulipas,6,0
Tlaxcala,4,0
Veracruz,23,0
Yucatán,38,0
Zacatecas,4,0
