estado,casos_acumulados,muertes_acumuladas
Aguascalientes,24,0
Baja California,23,0
Baja California Sur,11,0
Campeche,3,0
Ciudad de México,196,7
Coahuila,32,1
Colima,2,0
Chiapas,10,0
Chihuahua,6,0
Durango,7,1
Guanajuato,37,0
Guerrero,13,0
Hidalgo,17,2
Jalisco,83,3
México,119,0
Michoacán,17,1
Morelos,6,1
Nayarit,5,0
Nuevo León,67,0
Oaxaca,14,0
Puebla,66,1
Querétaro,26,0
Quintana Roo,38,1
San Luis Potosí,24,2
Sinaloa,19,0
Sonora,14,0
Tabasco,33,0
Tamaulipas,7,0
Tlaxcala,4,0
Veracruz,24,0
Yucatán,41,0
Zacatecas,5,0
